Unnamed: 0,Team1,Team2,Referee,Coef_1,Coef_X,Coef_2,Total_Fouls,Team1_Score,Team2_Score,Team1_Intensive,Team2_Intensive,Intensive,Team1_Ball_possession,Team2_Ball_possession,Team1_Fouls,Team2_Fouls,Team1_Yellow_cards,Team2_Yellow_cards,Team1_Passes,Team2_Passes,Team1_Long_balls,Team2_Long_balls,Team1_Crosses,Team2_Crosses,Team1_Dribbles,Team2_Dribbles,Team1_Duels_won,Team2_Duels_won,Team1_Aerials_won,Team2_Aerials_won,Team1_Tackles,Team2_Tackles,Team1_Corner_kicks,Team2_Corner_kicks,Team1_Interceptions,Team2_Interceptions,Team1_Possession_lost,Team2_Possession_lost,Team1_Total_shots,Team2_Total_shots,Team1_Shots_on_target,Team2_Shots_on_target,Team1_Shots_inside_box,Team2_Shots_inside_box,Team1_Shots_outside_box,Team2_Shots_outside_box,Team1_Clearances,Team2_Clearances,Team1_Accurate_passes,Team2_Accurate_passes,Team1_Formation,Team1_Ratings,Team2_Formation,Team2_Ratings,Team1_PPDA,Team2_PPDA,Team1_Pre_PPDA,Team2_Pre_PPDA
0,Кристал Пэлас,Арсенал,Энтони Тейлор,4.5,3.6,1.8,27,0,2,974,997,-23,56,44,16,11,1,2,562,438,66,49,19,11,29,16,53,72,10,14,18,29,3,5,8,9,142,129,10,10,2,2,9,8,1,2,19,24,487,360,4-2-3-1,0.0,4-3-3,0.0,10.25,12.68,,
1,Фулхэм,Ливерпуль,Энди Мэдли,11.0,5.75,1.29,16,2,2,694,1659,-965,33,67,7,9,2,0,294,612,65,76,19,18,10,15,61,35,23,13,25,11,4,4,10,10,171,203,9,11,3,4,7,9,2,2,30,14,181,473,4-2-3-1,0.0,4-3-3,0.0,18.47,6.33,,
2,Борнмут,Астон Вилла,Питер Бэнкс,4.0,3.5,1.95,34,2,0,532,2019,-1487,34,66,18,16,3,3,301,571,61,57,11,31,15,23,62,58,16,16,20,10,5,5,13,8,128,159,7,15,3,2,6,4,1,11,36,8,211,479,3-4-2-1,0.0,4-3-3,0.0,11.68,6.61,,
3,Лидс,Вулверхэмптон,Роберт Джонс,2.38,3.3,3.0,22,2,1,1112,1412,-300,40,60,13,9,2,0,355,546,45,59,20,20,13,39,45,61,9,7,21,16,6,4,14,14,135,139,12,15,4,6,7,8,5,7,22,16,269,463,4-2-3-1,0.0,4-2-3-1,0.0,9.29,10.65,,
4,Ньюкасл,Ноттингем Форест,Саймон Хупер,1.53,4.0,6.0,23,2,0,3009,196,2813,61,39,9,14,0,3,469,294,42,57,25,9,19,16,57,45,12,16,19,15,11,1,11,10,144,135,23,5,10,0,16,4,7,1,14,36,379,207,4-3-3,0.0,3-4-1-2,0.0,6.08,13.33,,
5,Тоттенхэм,Саутгемптон,Андре Марринер,1.36,5.0,8.5,17,4,1,1519,713,806,58,42,11,6,3,0,554,410,67,51,24,18,12,16,49,45,13,11,24,14,10,2,3,13,132,130,18,10,8,2,14,6,4,4,18,19,471,337,3-4-2-1,0.0,5-3-2,0.0,5.7,15.55,,
6,Эвертон,Челси,Крэйг Поусон,6.5,4.2,1.55,25,0,1,498,1510,-1012,37,63,14,11,3,2,335,566,63,36,15,25,16,19,57,68,12,22,24,19,4,16,8,9,136,145,8,15,4,6,7,11,1,4,27,16,246,490,5-4-1,0.0,3-4-3,0.0,12.0,6.19,,
7,Лестер,Брентфорд,Джарред Джиллетт,1.91,3.75,3.8,11,2,2,1259,879,380,55,45,6,5,0,0,580,457,33,58,10,16,14,8,40,35,14,15,13,10,5,6,10,8,117,116,14,8,5,3,5,5,9,3,12,16,510,386,3-5-1-1,0.0,4-3-3,0.0,17.71,22.21,,
8,Манчестер Юнайтед,Брайтон,Пол Тирни,1.8,3.75,4.333333333333334,19,1,2,1595,692,903,63,37,7,12,4,1,548,326,54,66,24,12,12,12,40,36,11,9,12,14,6,2,15,12,148,141,17,15,5,4,13,10,4,5,10,24,452,229,4-3-3,0.0,3-3-3-1,0.0,10.09,9.96,,
9,Вест Хэм,Манчестер Сити,Майкл Оливер,7.5,5.25,1.36,12,0,2,244,1970,-1726,25,75,8,4,0,1,263,833,53,54,12,18,7,25,29,39,10,11,14,6,1,4,11,3,87,98,6,14,1,2,5,9,1,5,17,11,206,774,4-2-3-1,0.0,4-3-3,0.0,26.0,25.5,,
10,Астон Вилла,Эвертон,Майкл Оливер,1.75,3.5,5.0,16,2,1,1286,587,699,58,42,9,7,4,1,517,378,48,66,14,13,16,17,43,43,14,12,15,16,5,8,14,8,128,139,12,15,4,4,10,11,2,4,16,17,435,291,4-3-1-2,6.7,3-4-3,6.8,9.3,18.62,,
11,Арсенал,Лестер,Англия Даррен,1.55,4.333333333333334,5.5,24,4,2,1520,556,964,50,50,15,9,1,1,462,472,41,63,17,9,16,8,47,44,19,14,8,12,6,2,8,8,117,119,19,6,7,2,15,5,4,1,11,16,386,383,4-3-3,7.15,3-5-1-1,6.93,10.33,14.0,,
12,Брайтон,Ньюкасл,Грэм Скотт,2.38,3.3,3.0,14,0,0,1564,569,995,55,45,8,6,2,3,374,314,57,60,19,10,8,20,43,47,18,16,18,12,7,3,8,14,141,136,13,4,7,1,8,3,5,1,19,32,286,230,3-4-1-2,7.08,4-3-3,7.41,6.29,9.29,,
13,Манчестер Сити,Борнмут,Дэвид Кут,1.08,12.0,21.0,18,4,0,2720,129,2591,67,33,9,9,0,3,696,353,36,49,27,6,14,10,36,33,9,8,8,10,11,1,5,6,87,88,19,3,7,1,12,1,7,2,4,20,649,288,4-2-3-1,7.24,3-4-2-1,7.14,12.16,51.17,,
