Unnamed: 0,Team1,Team2,Referee,Coef_1,Coef_X,Coef_2,Total_Fouls,Team1_Score,Team2_Score,Team1_Intensive,Team2_Intensive,Intensive,Team1_Ball_possession,Team2_Ball_possession,Team1_Fouls,Team2_Fouls,Team1_Yellow_cards,Team2_Yellow_cards,Team1_Passes,Team2_Passes,Team1_Long_balls,Team2_Long_balls,Team1_Crosses,Team2_Crosses,Team1_Dribbles,Team2_Dribbles,Team1_Duels_won,Team2_Duels_won,Team1_Aerials_won,Team2_Aerials_won,Team1_Tackles,Team2_Tackles,Team1_Corner_kicks,Team2_Corner_kicks,Team1_Interceptions,Team2_Interceptions,Team1_Possession_lost,Team2_Possession_lost,Team1_Total_shots,Team2_Total_shots,Team1_Shots_on_target,Team2_Shots_on_target,Team1_Shots_inside_box,Team2_Shots_inside_box,Team1_Shots_outside_box,Team2_Shots_outside_box,Team1_Clearances,Team2_Clearances,Team1_Accurate_passes,Team2_Accurate_passes,Team1_Formation,Team1_Ratings,Team2_Formation,Team2_Ratings,Team1_PPDA,Team2_PPDA,Team1_Pre_PPDA,Team2_Pre_PPDA
0,Э. Франкфурт,Бавария,Дениз Айтекин,6.0,5.0,1.45,21,1,6,570,1966,-1396,37,63,10,11,2,0,359,625,44,44,15,14,25,16,43,42,6,3,16,20,5,6,17,11,138,122,8,23,2,10,5,14,3,9,15,14,275,548,3-4-2-1,0.0,4-4-2,0.0,31.85,8.17,,
1,Аугсбург,Фрайбург,Бастиан Данкерт,3.4,3.6,2.1,26,0,4,714,1642,-928,53,47,13,13,0,0,376,332,70,58,9,15,7,14,48,63,18,32,14,12,5,8,10,9,126,129,11,19,2,7,9,12,2,7,23,15,291,240,3-1-4-2,0.0,4-2-3-1,0.0,6.67,9.92,,
2,Бохум,Майнц 05,Феликс Цвайер,3.4,3.4,2.15,27,1,2,1333,671,662,60,40,11,16,2,3,539,350,96,70,24,19,8,9,55,53,19,24,19,14,3,5,8,13,159,172,16,13,3,6,4,9,12,4,16,18,429,233,4-2-3-1,0.0,5-4-1,0.0,6.84,16.62,,
3,Боруссия Мгладбах,Хоффенхайм,Дэниел Зиберт,2.0,4.0,3.2,30,3,1,1924,410,1514,62,38,18,12,1,4,611,383,37,47,21,9,3,8,30,40,8,9,7,11,5,1,9,5,121,119,18,2,7,1,12,1,6,1,9,16,539,299,4-2-3-1,0.0,3-5-2,0.0,9.96,18.8,,
4,Юнион Берлин,Герта,Марко Фриц,1.85,3.6,4.2,40,3,1,1633,775,858,48,52,23,17,2,3,353,383,65,52,23,16,14,29,72,64,29,16,23,11,5,4,10,5,131,144,19,7,8,3,13,4,6,3,23,24,271,302,3-5-2,0.0,4-3-3,0.0,5.97,15.83,,
5,Вольфсбург,Бремен,Саша Стегеманн,2.05,3.6,3.4,25,2,2,1251,832,419,61,39,11,14,2,2,540,344,61,71,16,12,23,18,59,59,13,20,15,16,2,5,11,29,174,165,11,10,3,4,5,3,6,7,12,20,419,227,4-2-3-1,0.0,3-5-2,0.0,4.32,8.97,,
6,Дортмунд,Леверкузен,Феликс Брых,2.0,4.1,3.2,26,1,0,1176,893,283,45,55,13,13,2,4,398,480,56,31,12,16,24,29,58,55,13,6,25,23,3,3,14,11,156,167,14,8,4,3,7,3,7,5,21,8,299,383,4-3-3,0.0,4-2-3-1,0.0,9.1,9.0,,
7,Штутгарт,РБ Лейпциг,Тобиас Стилер,3.6,3.6,2.0,23,1,1,442,2308,-1866,32,68,14,9,2,1,281,578,66,47,4,29,17,22,58,58,15,14,27,19,1,9,14,8,124,162,11,28,2,9,4,15,7,13,27,9,198,483,3-5-2,0.0,3-4-1-2,0.0,14.0,5.39,,
8,Кельн,Шальке 04,Роберт Шредер,2.05,3.75,3.4,18,3,1,3212,421,2791,75,25,8,10,0,1,610,206,60,47,38,8,14,12,66,31,24,10,20,9,9,1,12,15,129,137,32,5,12,2,23,3,9,2,17,33,533,127,4-1-3-2,0.0,4-1-4-1,0.0,4.33,21.67,,
9,Фрайбург,Дортмунд,Тобиас Вельц,2.9,3.75,2.25,26,1,3,959,1064,-105,39,61,16,10,1,3,303,507,61,51,29,15,15,20,53,67,20,23,17,16,9,2,11,10,139,131,16,13,7,6,8,7,8,6,14,24,219,424,4-2-3-1,7.17,4-2-3-1,6.95,11.39,8.0,,
10,Леверкузен,Аугсбург,Бенджамин Кортус,1.3,6.0,8.5,22,1,2,2297,350,1947,67,33,7,15,1,6,516,259,57,69,32,10,18,12,55,53,17,22,15,20,7,3,12,12,163,159,24,6,10,4,18,2,6,4,11,35,418,146,4-2-3-1,6.63,3-5-2,6.51,3.65,10.15,,
11,Герта,Э. Франкфурт,Фрэнк Вилленборг,2.9,3.6,2.3,22,1,1,805,1316,-511,39,61,11,11,3,1,303,482,48,62,12,20,23,15,53,55,19,12,11,22,4,5,16,7,143,157,12,11,5,1,8,11,4,0,25,9,212,376,4-3-3,6.62,3-4-2-1,6.36,21.14,5.6,,
12,Хоффенхайм,Бохум,Патрик Иттрих,1.55,4.5,5.25,24,3,2,1896,573,1323,59,41,14,10,1,1,461,318,45,78,21,15,17,7,40,50,15,14,9,20,8,2,5,14,131,116,23,11,12,5,17,6,6,5,13,15,375,238,3-5-2,6.36,3-4-1-2,6.83,9.33,20.75,,
13,РБ Лейпциг,Кельн,Бенджамин Брэнд,1.45,5.0,6.5,26,2,2,894,1161,-267,52,48,8,18,1,4,440,396,64,46,11,20,22,14,48,49,13,13,8,19,2,7,8,14,125,119,9,13,5,4,5,7,4,6,13,8,362,317,3-1-4-2,6.91,4-2-3-1,7.34,13.94,8.42,,
14,Бремен,Штутгарт,Роберт Хартманн,2.25,3.6,3.0,16,2,2,971,1097,-126,57,43,6,10,4,2,562,422,82,61,15,16,11,21,49,51,13,11,21,23,2,5,8,5,145,149,5,14,3,7,4,7,1,7,16,16,466,321,3-5-2,6.85,3-5-2,7.05,10.65,17.1,,
15,Шальке 04,Боруссия Мгладбах,Свен Яблонски,3.1,3.8,2.1,20,2,2,550,1674,-1124,32,68,12,8,4,2,254,584,43,47,22,15,8,14,28,45,6,16,14,12,2,7,13,5,120,133,12,14,4,8,8,11,4,3,15,24,190,496,4-4-2,6.55,4-2-3-1,7.08,17.13,16.25,,
16,Майнц 05,Юнион Берлин,Даниэль Шлагер,2.25,3.25,3.4,23,0,0,1029,697,332,50,50,9,14,1,0,393,402,78,72,14,13,11,11,53,52,23,29,10,8,4,4,17,8,140,141,11,10,5,2,7,2,4,8,18,17,295,298,3-5-2,6.9,3-5-2,7.06,10.95,12.79,,
17,Бавария,Вольфсбург,Вред Осмерс,1.17,8.0,15.0,17,2,0,1975,445,1530,68,32,7,10,2,1,592,275,57,67,20,10,18,15,52,48,10,14,21,21,8,4,9,13,135,133,24,8,8,2,13,4,11,4,12,24,517,193,4-2-3-1,7.19,4-5-1,6.73,9.21,13.37,,
18,Боруссия Мгладбах,Герта,Матиас Йолленбек,1.53,4.5,5.75,18,1,0,1427,992,435,64,36,7,11,1,2,585,315,54,32,13,12,7,24,42,37,8,6,22,15,5,5,13,10,145,133,11,17,6,4,8,11,3,6,12,12,494,239,4-2-3-1,7.05,4-3-3,6.65,9.7,18.68,,
19,Аугсбург,Майнц 05,Саша Стегеманн,3.8,3.6,1.91,32,1,2,659,1354,-695,51,49,13,19,2,2,384,359,56,60,10,18,14,15,48,56,8,26,14,9,3,3,8,17,164,155,7,13,2,6,3,8,4,5,15,11,268,268,3-4-2-1,6.71,3-5-2,6.94,10.32,7.5,,
20,Леверкузен,Хоффенхайм,Тобиас Райхель,1.5699999999999998,4.75,4.75,31,0,3,1130,765,365,56,44,14,17,1,4,443,351,39,60,17,13,17,16,50,50,6,10,16,19,3,1,10,18,128,121,14,10,3,5,6,7,8,3,9,14,364,276,4-2-3-1,6.73,3-5-2,6.61,6.78,11.17,,
21,Дортмунд,Бремен,Флориан Бадстабнер,1.4,5.25,7.0,22,2,3,865,1300,-435,49,51,13,9,4,1,413,431,47,65,10,11,17,13,42,48,10,14,18,17,3,5,7,12,150,152,6,14,4,7,2,8,4,6,17,20,323,328,4-2-3-1,7.02,3-5-2,6.83,8.46,10.63,,
22,Штутгарт,Фрайбург,Феликс Брых,2.63,3.6,2.55,20,0,1,1392,483,909,60,40,8,12,4,2,557,369,60,60,19,8,16,7,48,54,23,25,5,17,3,1,5,10,146,120,17,9,4,3,13,4,4,5,7,22,467,278,3-4-3,6.91,4-2-3-1,6.89,14.27,18.16,,
23,Вольфсбург,Шальке 04,Феликс Цвайер,1.83,3.8,4.0,23,0,0,2146,558,1588,72,28,13,10,1,3,588,226,73,55,36,11,21,9,51,57,24,18,11,23,12,4,3,10,158,131,17,10,6,2,12,6,5,4,26,40,505,144,4-2-3-1,6.68,4-3-3,6.63,6.29,16.1,,
24,Юнион Берлин,РБ Лейпциг,Дениз Айтекин,3.25,3.4,2.2,23,2,1,252,2174,-1922,26,74,15,8,2,1,254,715,59,56,12,30,8,19,50,49,17,13,21,11,1,13,13,7,132,165,7,16,3,2,4,10,3,6,37,7,169,622,3-5-2,6.96,3-1-4-2,6.81,24.15,5.43,,
25,Э. Франкфурт,Кельн,Мартин Петерсен,2.1,3.75,3.25,27,1,1,884,614,270,53,47,16,11,0,1,417,356,61,49,17,22,25,12,50,63,13,18,14,25,5,9,6,18,169,165,9,5,3,2,4,3,5,2,29,20,316,247,4-2-3-1,6.59,4-3-1-2,7.03,6.71,8.84,,
26,Бохум,Бавария,Дэниел Зиберт,12.0,7.5,1.2,16,0,7,654,2000,-1346,35,65,10,6,1,0,269,504,72,39,18,10,10,18,40,50,14,9,15,20,5,5,11,10,118,112,13,22,7,12,9,14,4,8,19,12,206,436,4-4-2,6.91,4-4-2,7.21,17.22,7.16,,
27,Фрайбург,Бохум,Марко Фриц,1.53,4.333333333333334,6.0,28,1,0,1991,947,1044,47,53,15,13,2,2,348,393,55,89,17,23,12,7,64,53,31,29,11,7,2,5,14,15,151,156,29,15,13,5,20,11,9,4,17,20,248,287,4-2-3-1,6.94,4-2-3-1,6.64,8.13,7.9,,
28,Герта,Дортмунд,Тобиас Стилер,4.0,4.333333333333334,1.75,17,0,1,655,1789,-1134,38,62,8,9,1,0,360,583,48,51,11,24,22,20,61,47,15,12,21,16,6,10,9,11,133,138,13,22,3,7,4,20,9,2,16,11,272,501,4-3-3,6.68,4-2-3-1,6.86,29.25,7.07,,
29,Хоффенхайм,Аугсбург,Тобиас Вельц,1.4,5.0,7.0,23,1,0,1164,752,412,50,50,14,9,1,1,394,386,66,59,18,20,15,11,51,50,15,15,17,14,4,6,14,14,143,163,21,11,5,1,13,7,8,4,13,9,303,282,3-5-2,6.77,3-4-1-2,6.67,8.0,10.76,,
30,Майнц 05,Леверкузен,Кристиан Дингерт,2.3,3.6,2.9,22,0,3,1560,590,970,61,39,10,12,1,6,577,365,54,55,20,8,19,14,43,50,10,17,15,21,3,4,9,11,153,136,18,8,3,5,11,4,7,4,6,28,480,272,3-4-2-1,6.94,3-5-2,6.65,18.25,22.27,,
31,РБ Лейпциг,Вольфсбург,Бастиан Данкерт,1.53,4.75,5.5,35,2,0,1421,1022,399,42,58,20,15,3,3,359,495,53,77,17,16,18,14,46,52,12,12,10,13,8,4,4,18,133,131,16,9,7,4,13,7,3,2,15,13,271,406,3-4-1-2,6.79,4-2-3-1,6.77,13.57,7.21,,
32,Шальке 04,Юнион Берлин,Роберт Хартманн,3.1,3.4,2.3,19,1,6,1526,650,876,59,41,9,10,1,0,480,341,69,73,34,13,9,2,47,43,31,21,5,11,8,2,13,7,143,135,16,12,7,7,13,9,3,3,16,28,382,232,4-2-3-1,6.77,3-5-2,6.94,13.77,20.8,,
33,Бавария,Боруссия Мгладбах,Даниэль Шлагер,1.17,8.5,13.0,20,1,1,3452,107,3345,69,31,13,7,4,2,611,286,55,61,33,4,26,8,48,45,12,7,16,21,14,1,9,4,145,124,33,5,20,3,22,4,11,1,7,42,543,196,4-2-2-2,7.31,4-2-3-1,7.09,6.04,31.56,,
34,Кельн,Штутгарт,Вред Осмерс,2.38,3.5,2.8,25,0,0,922,1094,-172,64,36,14,11,2,2,459,248,46,58,23,19,21,20,53,53,15,15,20,17,6,8,7,11,145,117,7,14,2,5,4,10,3,4,23,25,376,182,4-1-3-2,6.93,3-4-3,6.84,7.11,18.64,,
35,Бремен,Э. Франкфурт,Патрик Иттрих,2.38,3.6,2.88,35,3,4,887,1548,-661,55,45,17,18,1,3,479,384,71,47,12,17,23,11,57,46,14,13,13,11,5,7,6,11,167,166,10,10,4,7,7,8,3,2,19,11,354,280,3-5-2,6.84,4-2-3-1,6.63,8.18,9.38,,
36,Дортмунд,Хоффенхайм,Дэниел Зиберт,1.75,4.2,4.2,29,1,0,934,627,307,50,50,14,15,3,4,450,440,51,52,17,26,14,15,54,45,11,11,22,16,5,8,9,10,128,147,15,7,5,2,12,5,3,2,16,12,367,365,4-5-1,6.89,3-5-2,6.84,14.53,8.43,,
37,Леверкузен,Фрайбург,Саша Стегеманн,1.75,3.8,4.333333333333334,25,2,3,1472,958,514,50,50,15,10,2,2,418,430,49,57,19,12,16,4,38,41,10,13,6,12,8,4,5,9,107,104,15,6,6,4,11,5,4,1,13,19,355,361,3-1-4-2,6.74,3-4-3,6.96,16.82,9.24,,
