Unnamed: 0,Team1,Team2,Referee,Coef_1,Coef_X,Coef_2,Total_Fouls,Team1_Score,Team2_Score,Team1_Intensive,Team2_Intensive,Intensive,Team1_Ball_possession,Team2_Ball_possession,Team1_Fouls,Team2_Fouls,Team1_Yellow_cards,Team2_Yellow_cards,Team1_Passes,Team2_Passes,Team1_Long_balls,Team2_Long_balls,Team1_Crosses,Team2_Crosses,Team1_Dribbles,Team2_Dribbles,Team1_Duels_won,Team2_Duels_won,Team1_Aerials_won,Team2_Aerials_won,Team1_Tackles,Team2_Tackles,Team1_Corner_kicks,Team2_Corner_kicks,Team1_Interceptions,Team2_Interceptions,Team1_Possession_lost,Team2_Possession_lost,Team1_Total_shots,Team2_Total_shots,Team1_Shots_on_target,Team2_Shots_on_target,Team1_Shots_inside_box,Team2_Shots_inside_box,Team1_Shots_outside_box,Team2_Shots_outside_box,Team1_Clearances,Team2_Clearances,Team1_Accurate_passes,Team2_Accurate_passes,Team1_Formation,Team1_Ratings,Team2_Formation,Team2_Ratings,Team1_PPDA,Team2_PPDA,Team1_Pre_PPDA,Team2_Pre_PPDA
0,Осасуна,Севилья,Карлос Дель Серро Гранде,3.1,3.1,2.55,25,2,1,748,1178,-430,34,66,16,9,5,3,255,518,55,68,22,18,10,9,31,50,8,18,11,12,5,2,5,6,108,111,12,10,5,3,4,5,8,5,20,23,201,450,4-4-2,0.0,4-2-3-1,0.0,15.77,7.1,,
1,Сельта,Эспаньол,Мигель Анхель Ортис Ариас,1.73,3.6,4.75,32,2,2,866,869,-3,60,40,17,15,5,2,539,356,57,67,12,13,8,16,61,68,24,26,19,18,3,3,9,22,151,149,8,10,3,2,3,2,5,8,21,17,443,272,4-1-3-2,0.0,4-3-3,0.0,7.93,8.03,,
2,Вальядолид,Вильярреал,Марио Мелеро Лопес,3.3,3.4,2.2,16,0,3,1154,952,202,52,48,6,10,1,0,434,414,53,62,22,8,23,23,48,50,10,12,16,18,4,5,19,7,123,139,12,10,6,4,7,6,5,4,18,12,362,323,4-1-4-1,0.0,4-4-2,0.0,8.42,9.56,,
3,футбольный клуб Барселона,Райо Вальекано,Алехандро Эрнандес,1.22,7.0,12.0,30,0,0,2318,166,2152,68,32,16,14,3,6,560,274,53,67,24,7,13,12,47,47,11,6,16,18,8,0,4,10,130,129,21,4,6,2,15,3,6,1,7,19,489,191,4-3-3,0.0,4-2-3-1,0.0,4.42,11.7,,
4,Кадис,Реал Сосьедад,Исидро Диас де Мера Эскудерос,3.8,3.0,2.15,29,0,1,838,1358,-520,40,60,9,20,4,2,291,461,63,47,21,15,20,18,68,62,19,20,20,25,3,6,8,8,147,137,7,15,2,7,4,8,3,7,20,27,216,373,4-4-2,0.0,4-3-1-2,0.0,12.11,4.24,,
5,Валенсия,Жирона,Хорхе Фигероа Васкес,1.85,3.5,4.333333333333334,32,1,0,966,833,133,46,54,18,14,2,3,352,397,50,45,13,20,18,15,44,54,9,14,14,13,4,4,8,5,107,114,17,5,2,1,9,2,8,3,15,10,285,331,4-3-3,0.0,3-4-2-1,0.0,9.26,9.47,,
6,Альмерия,Реал Мадрид,Хуан Мартинес Мунуэра,7.5,5.0,1.4,15,1,2,288,3110,-2822,32,68,11,4,3,1,315,649,53,35,6,24,9,18,28,34,7,5,11,9,2,15,9,8,89,110,10,29,6,15,7,18,3,11,32,3,257,593,5-3-2,0.0,4-3-3,0.0,32.2,19.9,,
7,Атлетик Бильбао,Мальорка,Хавьер Иглесиас Вильянуэва,1.5699999999999998,3.75,7.0,25,0,0,2183,215,1968,64,36,13,12,0,6,471,272,45,75,37,10,16,12,46,50,16,12,10,19,7,2,4,11,144,124,23,6,6,2,13,5,10,1,14,27,388,183,4-3-3,0.0,5-4-1,0.0,6.95,10.87,,
8,Хетафе,Атл. Мадрид,Хосе Мария Санчес Мартинес,5.5,3.1,1.83,33,0,3,1088,1203,-115,42,58,14,19,2,1,385,543,60,65,23,23,16,14,49,50,14,11,11,20,3,6,9,10,131,132,10,12,0,5,6,5,4,7,21,18,305,469,5-3-2,0.0,5-3-2,0.0,14.83,8.76,,
9,Бетис,Эльче,Гильермо Куадра Фернандес,1.5699999999999998,4.0,5.5,28,3,0,2294,230,2064,72,28,10,18,3,6,605,224,47,40,16,10,25,12,65,33,14,6,16,12,8,4,14,14,120,114,17,4,8,2,12,4,5,0,6,21,539,155,4-2-3-1,0.0,3-4-3,0.0,7.63,14.7,,
10,Эспаньол,Райо Вальекано,Хорхе Фигероа Васкес,2.5,3.1,3.0,29,0,2,1907,698,1209,54,46,12,17,2,5,450,395,45,75,35,8,14,7,52,28,19,8,11,7,9,2,7,4,117,103,13,8,1,3,7,4,6,4,6,32,386,321,4-3-3,6.75,4-2-3-1,6.94,16.13,19.69,,
11,Севилья,Вальядолид,Хуан Луис Пулидо Сантана,1.55,4.0,6.5,30,1,1,1921,351,1570,61,39,20,10,3,2,452,303,57,63,40,5,12,12,51,60,16,16,18,20,12,2,9,8,144,120,18,6,2,3,14,2,4,4,7,26,384,225,4-3-3,6.75,4-3-3,6.55,4.97,11.95,,
12,Осасуна,Кадис,Антонио Матеу Лаос,1.91,3.3,4.5,24,2,0,1542,455,1087,56,44,11,13,2,5,413,335,82,67,22,9,16,13,58,45,27,16,13,15,2,2,14,7,145,143,16,9,3,2,11,6,5,3,14,30,313,246,4-4-2,6.76,4-4-2,6.81,6.38,18.27,,
13,Мальорка,Бетис,Пабло Гонсалес Фуэртес,3.25,3.2,2.3,39,1,2,1188,821,367,47,53,22,17,7,8,350,403,50,54,21,14,18,18,60,48,17,11,17,10,5,2,14,8,114,121,13,8,7,3,9,7,4,1,13,19,277,329,5-3-2,6.93,4-2-3-1,7.32,9.08,8.25,,
14,Сельта,Реал Мадрид,Хесус Хиль Мансано,5.0,4.2,1.65,20,1,4,808,1058,-250,51,49,12,8,2,2,543,538,38,40,23,7,15,22,37,41,8,5,13,14,2,2,7,15,108,99,15,16,2,7,9,12,6,4,11,20,479,475,4-1-3-2,6.55,4-3-3,7.08,12.48,12.68,,
15,Атлетик Бильбао,Валенсия,Сесар Сото Градо,1.67,3.75,5.25,26,1,0,779,987,-208,37,63,11,15,5,2,301,511,51,59,17,28,16,27,59,46,18,9,17,15,6,3,10,7,135,141,12,10,2,0,6,6,6,4,22,15,225,432,4-2-3-1,6.98,4-3-3,6.76,15.83,6.04,,
16,Атл. Мадрид,Вильярреал,Рикардо де Бургос Бенгоэчеа,1.85,3.4,4.5,19,0,2,1405,1046,359,50,50,8,11,2,2,473,491,35,58,30,9,8,24,44,35,13,11,18,6,5,6,2,12,106,86,13,19,5,5,8,13,5,6,10,31,410,443,3-1-4-2,7.17,4-4-2,7.18,20.35,16.56,,
17,Реал Сосьедад,футбольный клуб Барселона,Хосе Луис Мунуэра Монтеро,3.5,3.4,2.1,24,1,4,731,1453,-722,41,59,15,9,2,1,380,549,27,62,10,8,13,26,47,52,8,7,25,20,3,6,5,12,116,107,10,15,5,7,7,13,3,2,11,12,311,495,4-3-1-2,6.98,3-2-4-1,6.94,12.18,8.38,,
18,Эльче,Альмерия,Исидро Диас де Мера Эскудерос,2.3,3.2,3.3,28,1,1,1277,716,561,55,45,12,16,1,4,423,360,54,40,23,12,13,11,49,38,10,7,14,11,6,5,8,11,125,116,13,12,3,7,9,6,4,6,11,22,353,291,4-4-2,6.14,3-4-1-2,6.9,11.63,6.21,,
19,Жирона,Хетафе,Алехандро Мунис Руис,2.3,2.88,3.75,34,3,1,2156,666,1490,67,33,16,18,2,6,548,259,54,47,16,14,13,11,43,53,8,17,13,16,5,2,5,5,115,109,12,7,6,3,8,5,4,2,20,20,482,196,3-1-4-2,6.7,5-3-2,6.47,6.05,14.58,,
20,Жирона,Сельта,Карлос Дель Серро Гранде,2.75,3.1,2.7,29,0,1,634,896,-262,54,46,16,13,2,1,517,452,63,72,18,13,18,12,54,47,11,10,20,15,2,4,5,7,127,137,11,11,3,6,8,7,3,4,13,10,440,366,4-4-2,6.75,4-1-3-2,6.56,11.8,12.23,,
21,Бетис,Осасуна,Хуан Мартинес Мунуэра,1.8,3.6,4.333333333333334,30,1,0,734,687,47,55,45,9,21,0,3,464,367,48,53,9,25,18,14,59,48,15,10,14,17,2,4,11,10,122,133,7,12,1,2,5,7,2,5,27,14,381,287,4-2-3-1,7.05,4-4-1-1,6.92,9.88,7.76,,
22,Эльче,Реал Сосьедад,Хавьер Иглесиас Вильянуэва,3.75,3.3,2.05,32,0,1,754,1359,-605,45,55,14,18,3,3,372,469,52,44,13,12,29,8,56,49,12,6,17,26,4,6,7,11,143,128,12,9,5,5,5,7,7,2,14,14,296,396,4-4-2,6.53,4-3-1-2,6.73,15.72,4.89,,
23,Райо Вальекано,Мальорка,Хосе Мария Санчес Мартинес,2.05,3.3,3.8,29,0,2,1748,626,1122,65,35,11,18,1,3,536,302,65,56,46,10,11,7,51,36,11,13,14,8,7,3,10,18,153,125,15,9,0,4,8,6,7,3,10,38,449,224,4-2-3-1,6.76,5-3-2,6.83,5.71,16.28,,
24,Альмерия,Севилья,Хесус Хиль Мансано,3.4,3.4,2.2,29,2,1,713,1652,-939,32,68,18,11,5,8,245,547,55,47,14,22,14,12,39,44,11,15,9,7,5,2,6,4,107,109,11,13,5,5,8,9,3,4,16,7,172,482,3-4-1-2,6.86,4-2-2-2,6.78,13.68,11.17,,
25,Хетафе,Вильярреал,Хорхе Фигероа Васкес,4.75,3.75,1.7,30,0,0,524,1422,-898,35,65,11,19,1,5,263,480,58,36,10,12,9,18,45,38,5,9,15,7,1,4,2,7,104,109,8,11,2,6,4,8,4,3,13,9,197,408,4-4-2,6.46,4-4-2,7.13,13.85,6.5,,
26,футбольный клуб Барселона,Вальядолид,Рикардо де Бургос Бенгоэчеа,1.14,9.5,15.0,17,4,0,2986,384,2602,68,32,9,8,1,2,637,304,50,40,30,10,27,14,52,47,13,8,15,22,14,4,7,9,130,128,24,8,9,3,19,5,5,3,3,26,570,221,4-3-3,7.05,4-1-4-1,6.64,7.58,22.69,,
27,Эспаньол,Реал Мадрид,Марио Мелеро Лопес,5.75,4.333333333333334,1.5,27,1,3,879,1476,-597,36,64,15,12,0,0,303,555,60,49,17,18,7,18,44,41,7,13,22,8,7,7,6,5,107,112,15,19,4,6,11,12,4,7,18,12,235,499,4-1-4-1,6.7,4-3-3,7.04,25.08,10.21,,
28,Кадис,Атлетик Бильбао,Мигель Анхель Ортис Ариас,3.75,3.25,2.1,22,0,4,193,2119,-1926,37,63,18,4,2,1,334,569,57,64,13,19,14,19,38,57,19,11,12,15,0,6,9,6,135,116,9,20,3,8,4,13,5,7,14,16,257,497,4-4-2,6.66,4-2-3-1,6.97,15.4,12.67,,
29,Валенсия,Атл. Мадрид,Гильермо Куадра Фернандес,4.2,3.3,1.95,32,0,1,1615,689,926,71,29,15,17,4,3,583,245,70,41,28,6,18,4,43,44,11,11,5,18,6,2,7,8,125,96,12,13,2,7,5,9,7,4,3,30,513,180,4-2-3-1,6.73,5-3-2,6.96,8.06,19.29,,
30,Сельта,Кадис,Хуан Луис Пулидо Сантана,1.6,3.75,6.0,36,3,0,1305,521,784,58,42,13,23,1,2,530,382,79,52,15,12,17,13,61,51,10,16,22,18,2,2,7,9,126,139,9,7,5,0,4,4,5,3,10,9,452,299,4-1-3-2,6.7,4-1-4-1,6.54,12.73,8.36,,
31,Мальорка,Жирона,Исидро Диас де Мера Эскудерос,2.1,3.1,3.9,32,1,1,913,962,-49,52,48,22,10,4,2,410,390,40,32,19,9,9,19,43,52,12,14,17,11,6,3,7,9,100,102,10,10,4,4,8,3,2,7,15,13,347,328,5-3-2,6.89,3-4-3,6.78,7.7,11.56,,
