Unnamed: 0,Team1,Team2,Referee,Coef_1,Coef_X,Coef_2,Total_Fouls,Team1_Score,Team2_Score,Team1_Intensive,Team2_Intensive,Intensive,Team1_Ball_possession,Team2_Ball_possession,Team1_Fouls,Team2_Fouls,Team1_Yellow_cards,Team2_Yellow_cards,Team1_Passes,Team2_Passes,Team1_Long_balls,Team2_Long_balls,Team1_Crosses,Team2_Crosses,Team1_Dribbles,Team2_Dribbles,Team1_Duels_won,Team2_Duels_won,Team1_Aerials_won,Team2_Aerials_won,Team1_Tackles,Team2_Tackles,Team1_Corner_kicks,Team2_Corner_kicks,Team1_Interceptions,Team2_Interceptions,Team1_Possession_lost,Team2_Possession_lost,Team1_Total_shots,Team2_Total_shots,Team1_Shots_on_target,Team2_Shots_on_target,Team1_Shots_inside_box,Team2_Shots_inside_box,Team1_Shots_outside_box,Team2_Shots_outside_box,Team1_Clearances,Team2_Clearances,Team1_Accurate_passes,Team2_Accurate_passes,Team1_Formation,Team1_Ratings,Team2_Formation,Team2_Ratings,Team1_PPDA,Team2_PPDA,Team1_Pre_PPDA,Team2_Pre_PPDA
0,Химки,Зенит,Евгений Кукуляк,0,0,0,18,1,1,471,1861,-1390,34,66,8,10,1,1,355,705,59,33,9,22,16,18,40,48,10,10,13,19,2,8,18,13,139,150,8,7,3,2,6,4,2,3,23,11,269,610,3-4-3,0.0,4-3-3,0.0,30.33,5.82,,
1,ЦСКА,Урал,Виталий Мешков,0,0,0,22,2,0,1844,504,1340,43,57,13,9,2,3,390,516,46,71,19,13,14,11,45,40,13,14,13,10,6,3,10,16,123,139,30,6,8,2,21,2,9,4,23,15,302,415,3-4-3,0.0,4-2-3-1,0.0,12.7,6.82,,
2,Оренбург,Крылья Советов,Шадыханов Павел,0,0,0,12,2,4,1005,1562,-557,42,58,9,3,0,0,333,480,51,59,20,15,15,20,36,40,6,7,18,16,8,3,5,6,128,124,17,27,8,9,10,16,7,11,13,18,249,404,4-1-4-1,0.0,4-4-2,0.0,16.4,9.06,,
3,Ахмат,Спартак,Владислав Безбородов,0,0,0,20,1,1,1044,1079,-35,44,56,10,10,5,4,326,406,68,66,15,26,9,21,52,38,13,10,25,11,2,3,17,8,121,149,17,13,7,2,11,7,6,6,30,21,242,322,4-2-3-1,0.0,4-3-3,0.0,9.25,15.18,,
4,Торпедо,Сочи,Сергей Иванов,0,0,0,20,1,3,933,1398,-465,45,55,9,11,1,4,424,534,52,64,13,14,7,13,34,51,9,14,10,18,2,7,15,13,141,132,11,13,4,5,6,10,5,3,15,7,331,444,4-2-3-1,0.0,3-4-3,0.0,13.95,10.58,,
5,Локомотив,Пари НН,Василий Казарцев,0,0,0,20,1,1,3159,76,3083,73,27,13,7,2,3,577,225,70,64,49,6,23,7,48,40,15,10,15,16,15,0,7,4,145,121,30,2,5,1,24,1,6,1,4,36,506,143,4-3-3,0.0,3-4-2-1,0.0,4.77,23.15,,
6,Динамо,Ростов,Павел Кукуян,0,0,0,26,1,1,651,1877,-1226,33,67,11,15,2,2,281,578,60,83,17,30,15,12,52,58,13,17,17,24,8,7,9,13,144,143,9,13,3,4,5,11,4,2,29,18,192,491,4-3-3,0.0,4-3-3,0.0,19.05,4.21,,
7,Краснодар,Факел,Сергей Карасёв,0,0,0,23,2,2,1225,975,250,66,34,11,12,1,2,544,267,40,51,9,20,27,11,49,52,15,11,6,23,2,3,6,17,137,112,21,16,6,10,9,12,12,4,11,17,458,189,4-3-3,0.0,3-5-2,0.0,9.69,15.05,,
8,Зенит,Крылья Советов,Артём Чистяков,0,0,0,13,3,0,1973,389,1584,62,38,3,10,0,3,637,382,59,43,14,12,16,7,35,26,5,4,13,15,7,6,15,17,107,102,15,2,7,0,11,1,4,1,12,7,567,315,4-3-3,6.88,4-4-2,7.1,13.19,24.8,,
9,ЦСКА,Сочи,Владимир Москалев,0,0,0,20,3,0,578,1185,-607,39,61,11,9,0,0,362,561,72,60,9,15,22,4,46,43,10,14,13,14,2,3,15,9,146,155,9,11,3,2,7,3,2,8,17,12,256,451,3-4-3,7.47,3-4-3,7.03,16.26,6.71,,
10,Оренбург,Урал,Ян Бобровский,0,0,0,30,3,0,1682,580,1102,57,43,16,14,2,3,472,355,43,60,31,14,10,9,45,42,13,12,11,12,10,5,13,15,110,117,25,9,9,2,12,5,13,4,10,19,414,276,4-1-4-1,6.61,4-2-3-1,6.65,9.17,12.68,,
11,Краснодар,Спартак,Кирилл Левников,0,0,0,25,1,4,992,1177,-185,54,46,11,14,1,4,420,361,56,51,16,15,19,14,54,40,9,5,20,14,5,7,19,12,114,103,14,19,3,8,5,13,9,6,6,12,347,296,4-2-3-1,6.75,3-5-2,6.74,5.73,12.18,,
12,Химки,Пари НН,Артем Любимов,0,0,0,33,3,0,1039,867,172,48,52,16,17,1,2,378,398,89,60,14,17,16,7,45,52,8,19,13,14,3,3,15,11,155,142,10,8,6,2,6,7,4,1,10,7,269,306,3-4-3,6.73,3-4-2-1,6.57,8.8,6.96,,
13,Динамо,Торпедо,Владислав Безбородов,0,0,0,18,4,0,1348,730,618,55,45,6,12,1,0,569,453,75,47,10,11,19,16,56,36,14,6,20,17,5,4,19,9,146,139,8,12,5,3,5,7,3,5,8,16,469,360,4-3-3,6.77,5-4-1,6.5,11.78,15.9,,
14,Ахмат,Факел,Алексей Амелин,0,0,0,13,2,1,932,1041,-109,48,52,3,10,1,2,412,442,60,81,14,27,16,12,50,41,14,21,18,14,2,4,6,17,174,168,13,13,6,4,8,7,5,6,18,26,290,337,4-2-3-1,7.03,3-5-2,6.86,19.31,11.6,,
15,Локомотив,Ростов,Алексей Васильевич Сухой,0,0,0,29,2,2,903,1154,-251,46,54,20,9,7,3,344,391,72,77,12,19,16,9,54,51,19,12,17,14,1,4,8,18,153,152,8,7,6,3,8,4,0,3,21,12,240,290,4-2-3-1,7.14,4-3-3,7.01,8.88,7.67,,
16,Урал,Краснодар,Владимир Москалев,0,0,0,23,1,3,1623,830,793,55,45,13,10,3,1,455,383,51,48,20,13,6,18,37,42,10,14,12,10,8,6,5,4,105,104,19,8,8,3,14,5,5,3,10,34,385,323,5-3-2,6.6,4-2-3-1,6.64,12.89,19.6,,
17,Факел,Динамо,Сергей Иванов,0,0,0,14,3,3,1408,734,674,51,49,9,5,2,2,371,359,68,60,21,15,4,21,33,53,11,18,16,15,6,3,12,10,139,141,15,11,5,2,10,8,5,3,14,17,283,262,3-5-2,6.83,4-3-3,7.06,9.55,16.91,,
18,Зенит,Локомотив,Сергей Карасёв,0,0,0,18,5,0,1689,377,1312,63,37,6,12,0,2,532,313,41,68,14,10,22,13,41,48,7,14,16,21,2,2,13,18,138,141,24,9,11,3,15,5,9,4,12,19,446,221,4-3-3,7.03,4-2-3-1,6.85,6.87,11.18,,
19,Сочи,Ахмат,Артем Любимов,0,0,0,21,2,1,1611,770,841,61,39,14,7,6,2,398,263,62,43,20,8,21,4,23,45,8,8,4,20,12,2,15,10,136,123,15,11,6,5,9,5,6,6,14,14,314,174,3-1-4-2,6.78,3-4-2-1,6.96,7.87,14.13,,
20,Пари НН,ЦСКА,Виталий Мешков,0,0,0,30,2,2,1524,739,785,53,47,13,17,2,0,412,383,68,85,25,9,30,23,66,75,18,25,16,24,4,1,17,18,173,152,22,14,5,3,12,9,10,5,8,25,304,270,3-4-2-1,6.5,3-4-3,7.36,6.15,4.95,,
21,Крылья Советов,Торпедо,Василий Казарцев,0,0,0,17,1,1,1421,534,887,56,44,4,13,0,3,581,457,45,82,17,12,9,4,48,34,16,8,11,19,2,3,10,18,149,150,19,14,7,4,8,8,11,6,21,20,479,356,4-4-2,6.77,4-2-3-1,6.43,18.0,18.61,,
22,Спартак,Оренбург,Артём Чистяков,0,0,0,25,4,1,1587,541,1046,56,44,7,18,1,4,462,357,48,43,14,15,22,12,50,35,7,3,18,19,5,4,13,14,102,116,24,5,10,2,17,2,7,3,21,8,402,294,4-3-3,6.82,4-1-4-1,6.94,10.86,8.9,,
23,Ростов,Химки,Владислав Безбородов,0,0,0,20,1,0,1461,493,968,58,42,9,11,5,3,497,363,47,65,18,14,8,14,41,39,14,15,12,9,6,0,8,12,117,126,12,12,3,1,6,6,6,6,20,18,419,281,3-4-3,6.87,3-4-2-1,6.84,14.36,19.13,,
24,Урал,Спартак,Павел Кукуян,0,0,0,23,0,2,659,1564,-905,48,52,9,14,1,2,442,498,67,48,18,7,14,17,48,39,12,11,17,12,5,2,10,15,115,107,12,26,4,11,9,18,3,8,11,8,365,432,5-4-1,6.61,4-3-3,6.93,17.0,9.14,,
25,ЦСКА,Факел,Ян Бобровский,0,0,0,27,4,1,1804,370,1434,62,38,12,15,1,1,452,284,66,63,20,13,27,6,52,42,12,12,7,16,2,3,6,12,120,118,20,7,7,2,12,3,8,4,7,25,382,196,3-4-3,7.2,3-4-1-2,6.77,9.4,7.93,,
26,Ахмат,Зенит,Сергей Иванов,0,0,0,19,0,0,1062,959,103,44,56,14,5,5,2,377,499,74,52,18,11,10,15,40,56,18,16,15,18,5,3,13,5,136,142,13,10,6,0,3,5,10,5,12,21,292,401,3-4-3,6.9,4-3-3,7.17,9.0,21.6,,
27,Краснодар,Локомотив,Владислав Безбородов,0,0,0,24,3,0,980,796,184,56,44,10,14,5,2,407,313,86,85,8,17,32,14,59,49,15,9,13,23,2,6,12,17,157,173,18,6,5,4,9,4,9,2,17,7,302,187,4-3-3,6.75,4-2-3-1,6.69,6.14,5.25,,
28,Торпедо,Химки,Алексей Амелин,0,0,0,24,1,3,1323,1316,7,52,48,14,10,3,2,437,403,59,68,18,11,22,14,44,51,6,13,19,20,5,6,19,20,138,130,14,19,8,9,7,14,7,5,10,16,347,315,4-2-3-1,6.57,3-4-2-1,6.82,9.52,11.32,,
29,Крылья Советов,Динамо,Виталий Мешков,0,0,0,19,0,2,1819,810,1009,59,41,7,12,1,3,520,365,41,60,17,7,20,15,45,42,12,7,13,23,9,3,5,18,146,127,16,12,4,5,8,7,8,5,10,21,435,274,4-4-2,6.85,4-4-2,6.96,12.11,15.05,,
30,Ростов,Оренбург,Василий Казарцев,0,0,0,22,2,1,1922,782,1140,59,41,4,18,3,4,469,324,75,67,31,15,9,9,54,28,17,12,16,11,9,2,8,10,148,128,17,11,6,4,10,5,7,6,13,24,368,237,4-3-3,6.91,4-1-4-1,6.78,13.08,11.45,,
31,Сочи,Пари НН,Антон Фролов,0,0,0,15,2,1,2041,459,1582,65,35,5,10,1,3,574,291,58,61,20,18,13,7,38,30,16,7,6,14,9,3,15,17,115,124,34,8,12,2,26,5,8,3,20,15,492,206,3-4-3,6.79,3-4-2-1,6.61,13.17,18.28,,
32,Факел,Урал,Владислав Безбородов,0,0,0,24,0,0,906,961,-55,43,57,10,14,3,8,334,449,78,65,21,19,5,15,48,43,18,22,13,5,4,9,9,16,136,148,17,18,3,2,10,8,7,10,18,21,227,346,3-4-1-2,6.69,4-2-3-1,6.68,15.33,8.05,,
