Unnamed: 0,Team1,Team2,Referee,Coef_1,Coef_X,Coef_2,Total_Fouls,Team1_Score,Team2_Score,Team1_Intensive,Team2_Intensive,Intensive,Team1_Ball_possession,Team2_Ball_possession,Team1_Fouls,Team2_Fouls,Team1_Yellow_cards,Team2_Yellow_cards,Team1_Passes,Team2_Passes,Team1_Long_balls,Team2_Long_balls,Team1_Crosses,Team2_Crosses,Team1_Dribbles,Team2_Dribbles,Team1_Duels_won,Team2_Duels_won,Team1_Aerials_won,Team2_Aerials_won,Team1_Tackles,Team2_Tackles,Team1_Corner_kicks,Team2_Corner_kicks,Team1_Interceptions,Team2_Interceptions,Team1_Possession_lost,Team2_Possession_lost,Team1_Total_shots,Team2_Total_shots,Team1_Shots_on_target,Team2_Shots_on_target,Team1_Shots_inside_box,Team2_Shots_inside_box,Team1_Shots_outside_box,Team2_Shots_outside_box,Team1_Clearances,Team2_Clearances,Team1_Accurate_passes,Team2_Accurate_passes,Team1_Formation,Team1_Ratings,Team2_Formation,Team2_Ratings,Team1_PPDA,Team2_PPDA,Team1_Pre_PPDA,Team2_Pre_PPDA
0,Милан,Удинезе,Ливио Маринелли,1.44,4.75,6.5,29,4,2,1721,449,1272,59,41,16,13,1,4,502,343,66,44,21,11,14,16,51,43,5,12,23,13,5,1,8,11,116,118,14,9,5,4,9,5,5,4,5,19,429,278,4-2-3-1,0.0,3-5-2,0.0,8.67,12.58,,
1,Сампдория,Аталанта,Федерико Диониси,5.25,4.0,1.62,34,0,2,847,673,174,55,45,13,21,4,6,455,371,53,69,19,9,16,13,61,46,16,8,18,19,3,2,11,11,142,124,11,9,1,3,6,6,5,3,6,19,363,285,4-1-4-1,0.0,3-4-1-2,0.0,9.35,7.25,,
2,Лечче,Интер,Алессандро Пронтера,8.0,5.25,1.36,40,1,2,383,2237,-1854,30,70,21,19,4,2,254,603,54,46,13,32,8,13,46,52,14,14,9,11,6,8,13,8,105,135,10,19,4,9,5,11,5,8,41,8,184,523,4-3-3,0.0,3-5-2,0.0,17.25,5.71,,
3,Монца,Торино,Маурицио Мариани,2.55,3.1,2.9,23,1,2,904,837,67,54,46,6,17,1,2,447,377,59,43,14,16,11,15,46,34,8,7,13,14,2,7,11,5,121,126,15,13,4,6,5,12,10,1,14,11,365,307,3-5-2,0.0,3-4-2-1,0.0,11.21,11.76,,
4,Фиорентина,Кремонезе,Хуан Лука Сакки,1.6,4.2,5.25,29,3,2,2445,380,2065,75,25,10,19,0,3,569,191,96,43,35,13,16,14,64,52,27,13,12,24,11,4,6,7,122,106,28,13,11,4,21,9,7,4,10,25,507,121,4-3-3,0.0,3-4-1-2,0.0,5.35,14.17,,
5,Лацио,Болонья,Лука Массими,1.7,4.0,4.75,29,2,1,868,1093,-225,41,59,11,18,2,6,307,450,49,53,10,10,15,16,47,42,8,9,15,13,3,2,4,8,112,109,9,11,6,3,4,5,5,6,9,18,247,387,4-3-3,0.0,3-4-1-2,0.0,9.97,7.08,,
6,Салернитана,Рома,Симона Соцца,6.0,4.75,1.5,27,0,1,827,1076,-249,52,48,18,9,3,2,449,418,51,47,11,9,15,12,36,52,7,12,16,17,4,2,9,9,111,116,13,20,2,5,4,14,9,6,12,9,375,345,3-5-2,0.0,3-4-2-1,0.0,9.07,12.67,,
7,Специя,Эмполи,Даниэле Чиффи,2.4,3.4,2.88,23,1,0,823,1410,-587,41,59,15,8,2,1,355,519,57,64,21,28,13,20,39,47,3,9,23,14,6,4,17,10,146,174,9,18,2,5,4,9,5,9,27,16,275,416,3-5-2,0.0,4-3-1-2,0.0,7.66,11.41,,
8,Верона,Наполи,Майкл Фаббри,3.6,3.6,2.0,21,2,5,603,2501,-1898,34,66,15,6,2,2,260,516,50,44,14,20,13,18,42,52,9,20,19,11,4,8,9,12,116,123,6,25,3,8,5,20,1,5,20,12,187,441,3-5-2,0.0,4-3-3,0.0,12.54,8.5,,
9,Ювентус,Сассуоло,Антонио Рапуано,1.45,4.75,6.5,12,3,0,951,1363,-412,42,58,7,5,1,3,384,531,52,53,11,14,12,10,28,30,5,7,10,9,3,2,12,7,92,91,14,19,4,7,11,5,3,14,18,10,322,477,4-4-2,0.0,4-3-3,0.0,20.62,15.88,,
