Unnamed: 0,Team1,Team2,Referee,Coef_1,Coef_X,Coef_2,Total_Fouls,Team1_Score,Team2_Score,Team1_Intensive,Team2_Intensive,Intensive,Team1_Ball_possession,Team2_Ball_possession,Team1_Fouls,Team2_Fouls,Team1_Yellow_cards,Team2_Yellow_cards,Team1_Passes,Team2_Passes,Team1_Long_balls,Team2_Long_balls,Team1_Crosses,Team2_Crosses,Team1_Dribbles,Team2_Dribbles,Team1_Duels_won,Team2_Duels_won,Team1_Aerials_won,Team2_Aerials_won,Team1_Tackles,Team2_Tackles,Team1_Corner_kicks,Team2_Corner_kicks,Team1_Interceptions,Team2_Interceptions,Team1_Possession_lost,Team2_Possession_lost,Team1_Total_shots,Team2_Total_shots,Team1_Shots_on_target,Team2_Shots_on_target,Team1_Shots_inside_box,Team2_Shots_inside_box,Team1_Shots_outside_box,Team2_Shots_outside_box,Team1_Formation,Team1_Ratings,Team2_Formation,Team2_Ratings,Ref_Mean_Cards,Ref_Mean_Fouls,Team1_Mean_Fouls_Home,Team1_Mean_Fouls,Team2_Mean_Fouls_Away,Team2_Mean_Fouls,Team1_PPDA,Team2_PPDA,Team1_Pre_PPDA,Team2_Pre_PPDA
0,Фулхэм,Арсенал,Крис Кавана,5.0,4.0,1.66,24,0,1,342,1557,-1215,45,55,12,12,2,2,523,626,55,52,15,16,12,9,36,35,8,7,11,12,2,3,10,18,107,99,5,13,2,6,1,9,4,4,4-2-3-1,0.0,3-4-3,0.0,3.0,20.0,10.0,10.0,10.0,10.0,32.69,21.93,,
1,Кристал Пэлас,Саутгемптон,Джонатан Мосс,3.0,3.25,2.4,25,1,0,557,1496,-939,29,71,14,11,2,1,236,580,73,74,16,18,15,11,65,77,30,30,15,28,7,3,12,9,194,177,5,9,3,5,5,7,0,2,4-4-2,0.0,4-4-2,0.0,3.0,20.0,10.0,10.0,10.0,10.0,17.33,3.61,,
2,Ливерпуль,Лидс,Майкл Оливер,1.25,6.0,11.0,15,3,2,1752,395,1357,48,52,9,6,1,0,432,459,59,70,20,9,32,13,51,64,14,12,13,34,9,0,14,12,185,163,22,6,6,3,17,4,5,2,4-3-3,0.0,4-1-4-1,0.0,3.0,20.0,10.0,10.0,10.0,10.0,9.94,9.33,,
3,Вест Хэм,Ньюкасл,Стюарт Аттвелл,1.95,3.6,3.75,20,0,0,1213,1121,92,58,42,13,7,2,2,474,342,52,72,30,20,10,15,41,57,17,25,14,13,8,7,7,5,132,123,15,15,3,2,10,10,5,5,4-2-3-1,0.0,4-4-2,0.0,3.0,20.0,10.0,10.0,10.0,10.0,6.41,24.18,,
4,Вест Бромвич,Лестер,Энтони Тейлор,3.25,3.4,2.2,21,0,0,347,1594,-1247,35,65,12,9,1,1,336,604,68,51,9,17,12,12,35,46,16,9,7,17,2,5,10,14,134,132,7,13,1,7,3,11,4,2,5-4-1,0.0,4-1-4-1,0.0,3.0,20.0,10.0,10.0,10.0,10.0,19.11,10.53,,
5,Тоттенхэм,Эвертон,Мартин Аткинсон,2.0,3.4,3.8,22,0,0,965,1025,-60,51,49,15,7,1,0,552,529,44,73,24,12,8,20,38,65,18,15,9,19,5,3,4,19,138,116,9,15,5,4,8,10,1,5,4-2-3-1,0.0,4-3-3,0.0,3.0,20.0,10.0,10.0,10.0,10.0,11.33,16.26,,
6,Шеффилд Юнайтед,Вулверхэмптон,Майк Дин,3.2,2.9,2.55,20,0,2,1413,786,627,55,45,13,7,2,1,460,391,59,88,43,15,13,22,59,69,31,28,16,14,12,5,9,13,156,131,9,11,2,4,8,7,1,4,3-5-2,0.0,3-4-3,0.0,3.0,20.0,10.0,10.0,10.0,10.0,8.23,31.33,,
7,Брайтон,Челси,Крэйг Поусон,5.75,4.4,1.53,21,0,1,1021,678,343,52,48,8,13,1,0,507,465,64,65,14,13,16,12,46,42,10,13,17,16,4,3,15,25,136,122,13,10,3,5,7,7,6,3,3-5-2,0.0,4-2-2-2,0.0,3.0,20.0,10.0,10.0,10.0,10.0,9.34,12.7,,
8,Бернли,Манчестер Юнайтед,Кевин Френд,8.0,4.75,1.4,28,0,0,548,1522,-974,37,63,15,13,1,2,334,566,84,54,14,21,8,9,32,54,12,22,5,12,3,4,11,10,160,135,11,13,0,7,6,9,5,4,4-4-2,6.8,4-2-3-1,6.93,3.0,20.0,10.0,10.0,10.0,10.0,10.92,8.72,,
9,Манчестер Сити,Астон Вилла,Джонатан Мосс,1.28,6.0,10.0,19,0,0,2272,226,2046,69,31,10,9,0,2,628,285,40,64,29,7,23,13,55,45,21,11,14,14,16,2,11,15,124,109,28,11,9,4,20,6,8,5,4-3-3,7.04,4-2-3-1,7.09,3.0,25.0,10.0,10.0,10.0,10.0,8.24,22.29,,
10,Эвертон,Вест Бромвич,Майк Дин,1.5699999999999998,4.0,6.0,20,2,1,2357,549,1808,71,29,9,11,1,0,799,322,56,49,32,6,15,12,50,45,12,14,21,18,11,1,6,12,137,117,17,6,7,4,13,2,4,4,4-3-3,7.51,5-4-1,6.31,3.0,20.0,10.0,7.0,10.0,12.0,9.1,41.5,,
11,Лидс,Фулхэм,Энтони Тейлор,1.66,3.8,5.25,31,2,1,1327,965,362,50,50,13,18,1,2,444,438,66,47,20,18,17,29,69,70,18,20,22,18,5,3,10,16,174,153,10,14,7,6,8,7,2,7,4-1-4-1,6.69,4-2-3-1,6.51,2.0,21.0,10.0,6.0,10.0,12.0,7.62,9.42,,
12,Манчестер Юнайтед,Кристал Пэлас,Мартин Аткинсон,1.36,5.0,8.0,23,0,1,1952,637,1315,75,25,13,10,2,1,705,225,50,51,27,9,21,15,48,61,11,16,14,24,9,3,9,21,166,135,17,14,4,5,7,9,10,5,4-2-3-1,0.0,4-4-2,0.0,1.0,22.0,10.0,13.0,10.0,14.0,3.31,13.59,,
13,Арсенал,Вест Хэм,Майкл Оливер,1.45,4.5,7.0,24,1,1,1276,848,428,62,38,11,13,0,1,669,383,51,45,17,27,12,11,44,40,17,16,8,10,7,5,11,10,138,115,7,14,3,3,5,7,2,7,3-4-3,7.28,5-4-1,6.65,1.0,15.0,10.0,12.0,10.0,13.0,12.76,18.26,,
14,Саутгемптон,Тоттенхэм,Дэвид Кут,3.3,3.4,2.2,35,1,1,1394,730,664,53,47,17,18,4,3,460,419,58,63,12,6,14,14,52,61,16,31,8,8,3,2,8,5,150,157,14,9,7,6,9,7,5,2,4-4-2,6.81,4-3-3,6.6,3.0,20.0,10.0,11.0,10.0,15.0,8.67,10.78,,
15,Ньюкасл,Брайтон,Кевин Френд,2.5,3.25,2.9,31,0,2,708,1215,-507,47,53,16,15,3,0,386,444,60,80,20,9,4,7,47,40,21,15,10,8,7,1,9,11,138,122,6,13,0,6,3,6,3,7,4-4-2,7.22,3-4-3,6.72,3.0,28.0,10.0,7.0,10.0,8.0,11.95,10.84,,
16,Челси,Ливерпуль,Пол Тирни,3.4,3.9,2.0,16,0,0,319,2489,-2170,38,62,10,6,0,0,488,764,62,50,4,24,26,18,50,37,11,3,17,14,1,11,11,8,113,132,5,18,3,6,3,10,2,8,4-3-3,7.0,4-3-3,6.72,3.0,20.0,10.0,13.0,10.0,9.0,37.64,11.44,,
17,Лестер,Бернли,Ли Мейсон,1.5,4.333333333333334,6.5,24,1,1,1796,888,908,67,33,11,13,1,2,621,292,51,56,28,15,12,12,47,59,18,30,13,12,15,4,11,12,147,129,14,16,6,5,11,11,3,5,4-1-4-1,0.0,4-4-2,0.0,3.0,20.0,10.0,9.0,10.0,15.0,7.47,16.1,,
18,Астон Вилла,Шеффилд Юнайтед,Грэм Скотт,2.45,3.2,3.1,25,0,0,2350,242,2108,71,29,12,13,3,1,553,221,49,58,41,14,7,8,54,49,32,22,5,9,10,4,7,7,127,128,18,4,2,1,11,3,7,1,4-3-3,0.0,3-5-2,0.0,3.0,20.0,10.0,9.0,10.0,13.0,4.45,17.64,,
