,Team1,Team2,Referee,Coef_1,Coef_X,Coef_2,Total_Fouls,Team1_Score,Team2_Score,Team1_Intensive,Team2_Intensive,Intensive,Team1_Ball_possession,Team2_Ball_possession,Team1_Fouls,Team2_Fouls,Team1_Yellow_cards,Team2_Yellow_cards,Team1_Passes,Team2_Passes,Team1_Long_balls,Team2_Long_balls,Team1_Crosses,Team2_Crosses,Team1_Dribbles,Team2_Dribbles,Team1_Duels_won,Team2_Duels_won,Team1_Aerials_won,Team2_Aerials_won,Team1_Tackles,Team2_Tackles,Team1_Corner_kicks,Team2_Corner_kicks,Team1_Interceptions,Team2_Interceptions,Team1_Possession_lost,Team2_Possession_lost,Team1_Total_shots,Team2_Total_shots,Team1_Shots_on_target,Team2_Shots_on_target,Team1_Shots_inside_box,Team2_Shots_inside_box,Team1_Shots_outside_box,Team2_Shots_outside_box,Team1_Formation,Team1_Ratings,Team2_Formation,Team2_Ratings,Team1_PPDA,Team2_PPDA,Team1_Pre_PPDA,Team2_Pre_PPDA,Ref_Mean_Cards,Ref_Mean_Fouls,Team1_Mean_Fouls_Home,Team1_Mean_Fouls,Team2_Mean_Fouls_Away,Team2_Mean_Fouls
0,Брентфорд,Арсенал,Майкл Оливер,3.8,3.25,2.05,20,2,0,589,1765,-1176,35,65,12,8,0,0,309,568,65,47,9,22,11,20,51,50,17,20,20,9,2,5,9,7,151,145,8,22,3,4,7,13,1,9,3-5-2,0.0,4-2-3-1,0.0,16.11,5.77,,,4.0,20,10,10,10,10
1,Манчестер Юнайтед,Лидс,Пол Тирни,1.62,4.2,5.25,20,5,1,1294,798,496,49,51,11,9,1,2,422,438,47,62,11,14,24,12,38,51,11,9,6,23,5,4,8,14,147,137,16,10,8,3,12,3,4,7,4-2-3-1,0.0,4-1-4-1,0.0,12.59,7.24,,,4.0,20,10,10,10,10
2,Бернли,Брайтон,Дэвид Кут,3.1,3.1,2.45,17,1,2,935,1359,-424,36,64,10,7,2,1,259,518,50,72,36,14,18,7,61,49,26,20,16,16,7,6,10,6,141,131,14,14,3,8,8,12,6,2,4-4-2,0.0,4-1-4-1,0.0,17.89,7.93,,,4.0,20,10,10,10,10
3,Челси,Кристал Пэлас,Джонатан Мосс,1.3,5.25,11.0,26,3,0,2100,371,1729,62,38,15,11,0,0,678,423,52,39,22,5,14,20,46,52,7,15,21,11,5,2,11,9,97,103,13,4,6,1,5,4,8,0,3-4-2-1,0.0,4-4-2,0.0,6.6,71.0,,,4.0,20,10,10,10,10
4,Эвертон,Саутгемптон,Кевин Френд,2.0,3.4,3.9,28,3,1,1475,1087,388,48,52,13,15,2,0,337,370,68,49,25,22,14,23,68,61,25,19,23,21,6,8,6,5,167,180,14,6,6,3,11,5,3,1,4-2-3-1,0.0,4-4-2,0.0,6.87,5.59,,,4.0,20,10,10,10,10
5,Лестер,Вулверхэмптон,Крэйг Поусон,1.7,3.75,5.0,16,1,0,1039,909,130,56,44,6,10,1,2,584,443,35,58,7,16,20,32,42,59,10,12,15,20,5,4,11,13,134,128,9,17,5,3,6,12,3,5,4-2-3-1,0.0,3-4-3,0.0,11.5,20.26,,,4.0,20,10,10,10,10
6,Уотфорд,Астон Вилла,Майк Дин,3.4,3.3,2.2,31,3,2,748,1114,-366,38,62,18,13,3,1,317,508,63,50,8,26,18,16,65,62,24,17,15,13,2,4,9,11,128,142,13,11,7,2,9,4,4,7,4-1-4-1,0.0,4-2-3-1,0.0,14.43,6.5,,,4.0,20,10,10,10,10
7,Норвич,Ливерпуль,Андре Марринер,6.5,4.75,1.44,18,0,3,760,1875,-1115,50,50,4,14,1,1,520,512,69,44,19,25,18,20,51,40,8,14,19,16,3,11,9,5,132,137,14,19,3,8,9,13,5,6,4-3-3,0.0,4-3-3,0.0,25.67,11.58,,,4.0,20,10,10,10,10
8,Ньюкасл,Вест Хэм,Мартин Аткинсон,3.3,3.4,2.2,7,2,4,981,1594,-613,46,54,4,3,1,0,401,473,51,38,27,23,23,15,37,58,12,20,8,23,7,6,9,7,123,116,17,18,3,9,9,12,8,6,5-3-2,0.0,4-2-3-1,0.0,24.5,11.62,,,4.0,20,10,10,10,10
9,Тоттенхэм,Манчестер Сити,Энтони Тейлор,6.0,4.1,1.55,19,1,0,510,1858,-1348,34,66,11,8,2,1,293,548,51,22,12,30,19,27,51,66,14,19,15,16,3,11,10,3,116,137,13,18,3,4,5,11,8,7,4-3-3,0.0,4-3-3,0.0,17.29,6.14,,,4.0,20,10,10,10,10
