Unnamed: 0,Team1,Team2,Referee,Coef_1,Coef_X,Coef_2,Total_Fouls,Team1_Score,Team2_Score,Team1_Intensive,Team2_Intensive,Intensive,Team1_Ball_possession,Team2_Ball_possession,Team1_Fouls,Team2_Fouls,Team1_Yellow_cards,Team2_Yellow_cards,Team1_Passes,Team2_Passes,Team1_Long_balls,Team2_Long_balls,Team1_Crosses,Team2_Crosses,Team1_Dribbles,Team2_Dribbles,Team1_Duels_won,Team2_Duels_won,Team1_Aerials_won,Team2_Aerials_won,Team1_Tackles,Team2_Tackles,Team1_Corner_kicks,Team2_Corner_kicks,Team1_Interceptions,Team2_Interceptions,Team1_Possession_lost,Team2_Possession_lost,Team1_Total_shots,Team2_Total_shots,Team1_Shots_on_target,Team2_Shots_on_target,Team1_Shots_inside_box,Team2_Shots_inside_box,Team1_Shots_outside_box,Team2_Shots_outside_box,Team1_Formation,Team1_Ratings,Team2_Formation,Team2_Ratings,Team1_PPDA,Team2_PPDA,Team1_Pre_PPDA,Team2_Pre_PPDA,Ref_Mean_Cards,Ref_Mean_Fouls,Team1_Mean_Fouls_Home,Team1_Mean_Fouls,Team2_Mean_Fouls_Away,Team2_Mean_Fouls
0,Бавария М.,Шальке 04,Феликс Цвайер,1.1,11.0,21.0,23,3,0,2791,231,2560,62,38,11,12,1,2,604,361,45,58,17,5,14,17,39,46,8,6,14,20,9,2,12,11,126,124,21,5,12,1,17,3,4,2,4-2-3-1,0.0,4-4-2,0.0,6.34,25.33,,,3.0,20.0,10.0,10.0,10.0,10.0
1,Кельн,Хоффенхайм,Дэниел Зиберт,2.5,3.75,2.62,25,1,2,1070,1254,-184,49,51,12,13,3,4,446,456,67,67,16,14,15,20,64,59,33,24,11,12,1,6,11,8,129,139,13,13,6,7,10,8,3,5,4-2-3-1,0.0,3-4-1-2,0.0,11.91,11.54,,,3.0,20.0,10.0,10.0,10.0,10.0
2,Юнион Берлин,Аугсбург,Марко Фриц,2.3,3.3,3.2,18,0,1,1521,515,1006,58,42,9,9,2,0,533,386,84,73,35,10,17,12,53,58,19,28,17,16,8,1,13,13,165,150,15,9,3,5,8,7,7,2,4-3-3,0.0,4-2-3-1,0.0,13.22,21.25,,,3.0,20.0,10.0,10.0,10.0,10.0
3,Э. Франкфурт,Билефельд,Бенджамин Брэнд,1.72,4.0,4.5,27,0,0,1921,477,1444,62,38,14,13,2,2,533,331,67,72,35,12,11,11,54,57,17,16,19,20,14,3,11,24,173,163,18,12,6,4,12,5,6,7,3-4-1-2,0.0,4-1-4-1,0.0,6.77,12.44,,,3.0,20.0,10.0,10.0,10.0,10.0
4,Штутгарт,Фрайбург,Бенджамин Кортус,2.1,3.75,3.25,28,0,2,2012,577,1435,64,36,12,16,2,2,551,308,38,66,21,10,16,12,62,50,22,14,16,21,7,2,7,20,157,136,26,7,7,6,17,6,9,1,3-1-4-2,0.0,4-1-3-2,0.0,7.62,12.11,,,3.0,20.0,10.0,10.0,10.0,10.0
5,Бремен,Герта,Саша Стегеманн,2.45,3.5,2.8,30,0,2,1042,1282,-240,44,56,13,17,2,0,334,431,52,78,25,14,16,20,57,65,17,25,15,16,7,4,13,25,165,134,16,13,6,6,8,12,8,1,4-2-2-2,0.0,4-3-1-2,0.0,12.09,4.79,,,3.0,20.0,10.0,10.0,10.0,10.0
6,Дортмунд,Мгладбах,Феликс Брых,1.6,4.2,5.25,19,1,0,591,874,-283,47,53,10,9,1,1,530,585,51,38,10,12,16,7,31,38,1,9,10,15,1,3,8,13,106,112,10,8,4,2,9,4,1,4,3-4-1-2,0.0,3-4-3,0.0,28.77,12.1,,,3.0,20.0,10.0,10.0,10.0,10.0
7,РБ Лейпциг,Майнц 05,Мануэль Грефе,1.36,5.25,7.5,16,2,0,2902,462,2440,72,28,5,11,1,2,746,268,44,32,18,15,13,21,51,34,11,8,20,14,7,5,7,19,128,124,23,9,10,1,20,6,3,3,3-4-2-1,0.0,4-2-3-1,0.0,6.19,29.59,,,3.0,20.0,10.0,10.0,10.0,10.0
8,Вольфсбург,Леверкузен,Свен Яблонски,3.1,3.6,2.2,26,0,0,708,1083,-375,40,60,14,12,1,2,390,576,72,47,15,15,7,15,57,47,12,18,28,7,4,4,16,13,147,174,9,7,1,3,6,6,3,1,4-3-3,0.0,4-1-4-1,0.0,11.65,11.88,,,3.0,20.0,10.0,10.0,10.0,10.0
9,Герта,Э. Франкфурт,Бастиан Данкерт,2.25,3.75,2.9,29,0,2,1124,860,264,56,44,13,16,3,4,484,381,57,65,27,15,17,11,47,63,12,23,9,20,4,3,10,8,150,136,12,11,6,3,7,7,5,4,4-3-1-2,7.29,3-4-1-2,6.99,13.44,15.8,,,3.0,20.0,10.0,17.0,10.0,14.0
