,Team1,Team2,Referee,Coef_1,Coef_X,Coef_2,Total_Fouls,Team1_Score,Team2_Score,Team1_Intensive,Team2_Intensive,Intensive,Team1_Ball_possession,Team2_Ball_possession,Team1_Fouls,Team2_Fouls,Team1_Yellow_cards,Team2_Yellow_cards,Team1_Passes,Team2_Passes,Team1_Long_balls,Team2_Long_balls,Team1_Crosses,Team2_Crosses,Team1_Dribbles,Team2_Dribbles,Team1_Duels_won,Team2_Duels_won,Team1_Aerials_won,Team2_Aerials_won,Team1_Tackles,Team2_Tackles,Team1_Corner_kicks,Team2_Corner_kicks,Team1_Interceptions,Team2_Interceptions,Team1_Possession_lost,Team2_Possession_lost,Team1_Total_shots,Team2_Total_shots,Team1_Shots_on_target,Team2_Shots_on_target,Team1_Shots_inside_box,Team2_Shots_inside_box,Team1_Shots_outside_box,Team2_Shots_outside_box,Team1_Formation,Team1_Ratings,Team2_Formation,Team2_Ratings,Team1_PPDA,Team2_PPDA,Team1_Pre_PPDA,Team2_Pre_PPDA,Ref_Mean_Cards,Ref_Mean_Fouls,Team1_Mean_Fouls_Home,Team1_Mean_Fouls,Team2_Mean_Fouls_Away,Team2_Mean_Fouls
0,Мгладбах,Бавария М.,Марко Фриц,4.333333333333334,4.5,1.65,11,1,1,580,1996,-1416,35,65,7,4,2,0,332,613,68,49,12,23,22,39,64,66,16,20,32,18,3,8,18,11,143,174,11,21,4,9,7,19,4,2,4-2-3-1,0.0,4-2-3-1,0.0,11.06,8.56,,,4.0,20,10,10,10,10
1,Юнион Берлин,Леверкузен,Тобиас Райхель,2.55,3.4,2.7,18,1,1,512,1647,-1135,33,67,13,5,0,1,309,633,50,60,10,17,9,15,43,54,19,14,16,17,1,6,9,15,137,145,8,16,5,3,5,10,3,6,5-3-2,0.0,4-2-3-1,0.0,18.21,7.17,,,4.0,20,10,10,10,10
2,Билефельд,Фрайбург,Свен Яблонски,2.88,3.4,2.4,24,0,0,837,1559,-722,44,56,14,10,3,4,335,422,85,68,16,24,9,11,59,54,27,24,18,12,4,9,10,11,157,160,10,15,3,5,5,12,5,3,4-3-1-2,0.0,3-4-2-1,0.0,9.42,8.45,,,4.0,20,10,10,10,10
3,Аугсбург,Хоффенхайм,Феликс Брых,3.3,3.75,2.05,18,0,4,850,1330,-480,46,54,8,10,1,2,359,427,54,59,18,11,15,8,36,41,16,10,8,18,6,5,9,5,141,126,7,15,0,8,5,10,2,5,4-2-3-1,0.0,4-2-3-1,0.0,19.85,10.3,,,4.0,20,10,10,10,10
4,Штутгарт,Фюрт,Феликс Цвайер,1.75,4.0,4.2,18,5,1,3032,500,2532,67,33,10,8,0,1,640,313,49,52,24,8,18,15,38,40,10,5,9,16,9,2,3,7,103,96,33,8,15,5,24,5,9,3,3-4-2-1,0.0,3-5-2,0.0,10.74,25.31,,,4.0,20,10,10,10,10
5,Вольфсбург,Бохум,Фрэнк Вилленборг,1.4,5.0,7.0,16,1,0,2083,442,1641,61,39,9,7,0,2,540,344,46,81,23,11,16,15,37,37,11,6,12,16,5,2,20,11,137,150,19,7,9,1,11,4,8,3,4-2-3-1,0.0,4-3-3,0.0,9.76,27.18,,,4.0,20,10,10,10,10
6,Дортмунд,Э. Франкфурт,Тобиас Стилер,1.45,5.0,5.75,19,5,2,1704,819,885,60,40,5,14,0,0,591,379,58,67,13,19,27,6,54,40,11,10,13,25,7,3,11,13,150,135,13,10,7,3,11,10,2,0,4-2-3-1,0.0,3-4-2-1,0.0,15.64,13.26,,,4.0,20,10,10,10,10
7,Майнц 05,РБ Лейпциг,Дэниел Зиберт,7.5,4.75,1.4,18,1,0,539,1949,-1410,28,72,10,8,1,2,241,618,63,53,12,36,13,15,46,55,18,25,15,13,5,11,17,11,153,171,8,13,2,2,8,10,0,3,3-4-1-2,0.0,4-2-3-1,0.0,16.72,4.61,,,4.0,20,10,10,10,10
8,Кельн,Герта,Роберт Хартманн,2.38,3.5,2.9,32,3,1,1361,761,600,59,41,18,14,4,2,447,311,46,63,25,12,13,16,53,50,13,16,19,11,4,5,17,10,140,139,14,10,5,5,12,7,2,3,4-3-1-2,0.0,4-3-3,0.0,5.15,14.24,,,4.0,20,10,10,10,10
9,РБ Лейпциг,Штутгарт,Флориан Бадстабнер,1.45,4.75,6.0,21,4,0,2142,786,1356,52,48,10,11,0,3,461,428,40,35,18,14,23,16,57,54,15,13,15,19,6,2,10,12,129,148,28,11,12,5,18,8,10,3,4-2-3-1,6.78,3-4-2-1,7.49,9.32,9.86,,,4.0,20,10,8.0,10,10.0
