,Team1,Team2,Referee,Coef_1,Coef_X,Coef_2,Total_Fouls,Team1_Score,Team2_Score,Team1_Intensive,Team2_Intensive,Intensive,Team1_Ball_possession,Team2_Ball_possession,Team1_Fouls,Team2_Fouls,Team1_Yellow_cards,Team2_Yellow_cards,Team1_Passes,Team2_Passes,Team1_Long_balls,Team2_Long_balls,Team1_Crosses,Team2_Crosses,Team1_Dribbles,Team2_Dribbles,Team1_Duels_won,Team2_Duels_won,Team1_Aerials_won,Team2_Aerials_won,Team1_Tackles,Team2_Tackles,Team1_Corner_kicks,Team2_Corner_kicks,Team1_Interceptions,Team2_Interceptions,Team1_Possession_lost,Team2_Possession_lost,Team1_Total_shots,Team2_Total_shots,Team1_Shots_on_target,Team2_Shots_on_target,Team1_Shots_inside_box,Team2_Shots_inside_box,Team1_Shots_outside_box,Team2_Shots_outside_box,Team1_Formation,Team1_Ratings,Team2_Formation,Team2_Ratings,Team1_PPDA,Team2_PPDA,Team1_Pre_PPDA,Team2_Pre_PPDA,Ref_Mean_Cards,Ref_Mean_Fouls,Team1_Mean_Fouls_Home,Team1_Mean_Fouls,Team2_Mean_Fouls_Away,Team2_Mean_Fouls
0,Атлетик,футбольный клуб Барселона,Карлос Дель Серро Гранде,5.25,3.8,1.65,23,0,0,609,1315,-706,28,72,14,9,1,1,259,674,50,57,13,16,10,15,37,43,16,13,9,8,3,8,11,5,112,133,11,11,5,2,6,9,5,2,4-2-3-1,0.0,4-3-3,0.0,15.0,7.06,,,4.0,20,10,10,10,10
1,Сельта,Реал Мадрид,Хавьер Эстрада Фернандес,5.25,4.2,1.5699999999999998,29,0,1,956,849,107,56,44,17,12,6,2,521,413,34,65,27,11,22,15,44,51,5,13,14,13,6,4,7,7,115,100,7,17,4,11,5,10,2,7,4-2-2-2,0.0,4-3-3,0.0,11.37,14.09,,,4.0,20,10,10,10,10
2,Валенсия,Реал Сосьедад,Хесус Хиль Мансано,1.66,3.75,5.5,27,0,0,463,1182,-719,37,63,13,14,4,4,370,620,64,45,6,19,18,17,52,50,11,16,17,14,3,3,9,3,106,121,14,12,6,3,7,7,7,5,4-4-2,0.0,4-3-3,0.0,18.3,7.27,,,4.0,20,10,10,10,10
3,Мальорка,Эйбар,Марио Мелеро Лопес,2.87,3.2,2.55,27,1,0,845,1288,-443,36,64,13,14,2,3,278,498,65,74,16,17,9,5,61,65,34,33,14,15,9,3,8,8,131,136,15,11,3,5,10,9,5,2,4-1-4-1,0.0,4-4-2,0.0,15.18,6.95,,,4.0,20,10,10,10,10
4,Леганес,Осасуна,Хавьер Альберола Рохас,1.9,3.1,5.0,28,0,0,1152,673,479,51,49,17,11,1,4,332,330,66,86,23,9,10,10,51,60,19,30,16,11,8,0,6,6,163,148,13,4,2,2,7,1,6,3,3-4-1-2,0.0,4-2-3-1,0.0,6.42,9.83,,,4.0,20,10,10,10,10
5,Вильярреал,Гранада,Адриан Кордеро Вега,1.53,4.0,6.5,26,1,1,868,1301,-433,54,46,10,16,3,1,465,381,64,61,11,27,15,18,60,39,18,12,18,10,2,7,5,8,120,130,12,14,7,7,6,11,6,3,4-2-3-1,0.0,4-2-3-1,0.0,8.43,12.83,,,4.0,20,10,10,10,10
6,Алавес,Леванте,Сезар Сото Градо,2.3,3.4,3.2,33,0,0,397,1605,-1208,37,63,18,15,2,1,270,448,60,61,16,30,11,19,61,54,23,17,17,15,2,9,9,6,132,140,9,16,2,4,6,7,3,9,4-1-4-1,0.0,4-3-1-2,0.0,13.15,4.91,,,4.0,20,10,10,10,10
7,Эспаньол,Севилья,Хуан Мартинес Мунуэра,3.0,3.4,2.4,28,0,1,615,1134,-519,44,56,11,17,2,2,415,524,47,68,14,9,5,16,50,49,18,17,13,11,8,4,10,5,130,130,7,12,2,4,3,11,4,1,4-4-2,0.0,4-3-3,0.0,11.28,11.13,,,4.0,20,10,10,10,10
8,Бетис,Вальядолид,Сантьяго Хайме Латре,1.8,3.6,4.75,30,0,0,834,979,-145,47,53,11,19,2,6,378,421,41,56,13,14,27,8,51,37,6,7,8,15,6,1,4,12,113,91,13,14,4,3,8,7,5,7,4-2-3-1,0.0,4-4-2,0.0,23.82,8.13,,,4.0,20,10,10,10,10
9,Атл. Мадрид,Хетафе,Гильермо Куадра Фернандес,1.5,4.0,8.0,41,1,0,960,665,295,57,43,19,22,3,4,420,287,60,67,7,28,9,5,58,45,21,21,12,9,3,4,13,6,112,115,5,6,5,0,5,3,0,3,4-3-1-2,0.0,4-4-2,0.0,6.89,11.57,,,4.0,20,10,10,10,10
