,Team1,Team2,Referee,Coef_1,Coef_X,Coef_2,Total_Fouls,Team1_Score,Team2_Score,Team1_Intensive,Team2_Intensive,Intensive,Team1_Ball_possession,Team2_Ball_possession,Team1_Fouls,Team2_Fouls,Team1_Yellow_cards,Team2_Yellow_cards,Team1_Passes,Team2_Passes,Team1_Long_balls,Team2_Long_balls,Team1_Crosses,Team2_Crosses,Team1_Dribbles,Team2_Dribbles,Team1_Duels_won,Team2_Duels_won,Team1_Aerials_won,Team2_Aerials_won,Team1_Tackles,Team2_Tackles,Team1_Corner_kicks,Team2_Corner_kicks,Team1_Interceptions,Team2_Interceptions,Team1_Possession_lost,Team2_Possession_lost,Team1_Total_shots,Team2_Total_shots,Team1_Shots_on_target,Team2_Shots_on_target,Team1_Shots_inside_box,Team2_Shots_inside_box,Team1_Shots_outside_box,Team2_Shots_outside_box,Team1_Formation,Team1_Ratings,Team2_Formation,Team2_Ratings,Team1_PPDA,Team2_PPDA,Team1_Pre_PPDA,Team2_Pre_PPDA,Ref_Mean_Cards,Ref_Mean_Fouls,Team1_Mean_Fouls_Home,Team1_Mean_Fouls,Team2_Mean_Fouls_Away,Team2_Mean_Fouls
0,АС Монако,Лион,Рудди Буке,3.5,3.4,2.05,27,0,2,530,1554,-1024,39,61,10,17,2,2,392,619,29,46,9,12,13,19,54,44,6,14,25,13,2,5,10,8,97,98,7,13,1,3,4,4,3,9,4-2-3-1,0.0,4-3-3,0.0,17.96,8.64,,,4.0,20,10,10,10,10
1,Марсель,Реймс,Бризар Джером,1.66,3.4,6.0,26,0,0,1297,397,900,63,37,18,8,1,0,572,333,44,63,29,6,17,15,50,61,17,12,16,23,5,3,11,16,155,135,10,8,2,5,5,5,5,3,4-3-3,0.0,4-2-3-1,0.0,4.88,15.83,,,4.0,20,10,10,10,10
2,Анже,Бордо,Хаким Бен эль Салем Хадж,2.05,3.2,3.8,26,3,1,1343,806,537,47,53,11,15,2,1,422,470,63,44,16,6,22,22,76,53,21,20,25,12,4,3,8,10,140,133,14,8,4,3,5,4,9,4,4-1-4-1,0.0,4-2-3-1,0.0,9.5,10.96,,,4.0,20,10,10,10,10
3,Дижон,Сент-Этьен,Томас Леонард,3.8,3.4,2.0,27,1,2,1379,928,451,52,48,17,10,0,2,457,422,63,54,28,13,14,8,55,55,22,18,16,18,12,5,13,10,142,130,15,12,7,4,9,7,6,5,4-2-3-1,0.0,4-2-3-1,0.0,10.48,10.92,,,4.0,20,10,10,10,10
4,Монпелье,Ренн,Вилли Делайод,2.2,3.2,3.5,39,0,1,2056,390,1666,55,45,20,19,3,3,442,374,72,56,34,3,21,15,73,63,31,22,15,17,7,1,7,11,135,104,24,9,5,3,16,5,8,4,3-4-1-2,0.0,5-3-2,0.0,8.83,10.23,,,4.0,20,10,10,10,10
5,Ницца,Амьен,Джереми Пиньяр,2.25,3.0,3.75,18,1,0,1754,280,1474,68,32,10,8,3,4,618,274,54,49,16,14,16,13,40,42,10,21,11,8,7,3,9,11,104,101,17,8,6,2,11,7,6,1,4-3-3,0.0,4-4-1-1,0.0,8.61,22.72,,,4.0,20,10,10,10,10
6,Брест,Тулуза,Оливье Туаль,2.0,3.3,3.8,25,1,0,928,1247,-319,37,63,11,14,0,0,331,551,60,54,16,28,8,13,53,52,12,20,25,15,4,7,12,8,147,160,16,12,5,3,11,9,5,3,4-4-2,0.0,4-2-3-1,0.0,14.24,6.44,,,4.0,20,10,10,10,10
7,Лилль,Нант,Микаэль Лесаж,2.3,3.1,3.25,30,1,0,1109,1297,-188,54,46,13,17,2,4,420,346,60,51,16,22,26,13,49,61,10,21,11,21,5,11,10,10,120,122,13,13,3,3,7,7,6,6,4-2-3-1,0.0,4-3-3,0.0,8.38,12.9,,,4.0,20,10,10,10,10
8,Страсбург,Мец,Энтони Готье,2.2,3.1,3.5,18,1,0,1212,653,559,59,41,6,12,0,1,610,416,61,61,20,14,21,10,57,44,19,12,13,22,3,4,9,8,141,134,13,7,2,3,7,5,6,2,3-5-1-1,0.0,4-3-3,0.0,15.24,14.5,,,4.0,20,10,10,10,10
9,ПСЖ,Ним,Клемент Терпин,1.07,11.0,29.0,25,1,0,1918,296,1622,74,26,17,8,2,0,769,246,38,43,10,17,21,15,42,51,9,15,17,14,2,6,6,5,105,108,12,5,5,1,10,4,2,1,4-3-3,0.0,4-5-1,0.0,4.06,52.78,,,4.0,20,10,10,10,10
10,Лион,Анже,Бенуа Милло,1.45,4.333333333333334,7.0,21,3,0,1622,525,1097,67,33,7,14,1,2,755,359,44,48,7,13,17,7,52,30,8,6,19,12,2,5,11,16,109,121,11,10,9,3,9,3,2,7,4-3-3,7.08,4-1-4-1,7.02,7.63,23.88,,,4.0,20,10,17.0,10,11.0
11,Нант,Марсель,Бенуа Бастьен,2.4,3.1,3.1,34,0,0,1351,825,526,54,46,16,18,0,3,452,384,70,60,26,17,11,17,62,57,20,24,20,11,7,3,6,6,142,128,13,9,6,2,4,6,9,3,4-2-3-1,6.7,4-3-3,6.59,10.0,12.7,,,4.0,20,10,17.0,10,18.0
12,Амьен,Лилль,Карим Абед,3.3,3.1,2.37,20,0,0,856,1186,-330,49,51,13,7,1,1,420,406,46,59,15,30,5,22,50,54,19,18,21,15,3,10,11,13,139,174,8,9,3,0,5,2,3,7,4-2-3-1,6.52,4-2-3-1,6.85,12.94,13.88,,,4.0,20,10,8.0,10,13.0
13,Бордо,Монпелье,Фрэнк Шнайдер,2.55,3.0,3.1,36,0,1,1268,794,474,64,36,15,21,2,1,563,292,49,62,13,20,29,13,68,64,26,13,10,29,3,5,13,12,141,143,13,10,4,4,7,4,6,6,3-4-2-1,6.24,3-5-2,6.95,6.7,10.3,,,4.0,20,10,15.0,10,20.0
14,Мец,АС Монако,Эрик Ваттелье,3.1,3.2,2.4,22,1,0,1386,537,849,48,52,15,7,1,2,464,496,70,45,16,11,13,22,51,55,12,11,26,16,6,4,13,9,128,130,18,12,10,6,13,5,5,7,4-3-3,6.71,4-2-3-1,6.38,9.24,12.57,,,4.0,20,10,12.0,10,10.0
15,Ним,Ницца,Франсуа Летексье,2.0,3.4,3.8,33,1,2,1357,676,681,54,46,21,12,5,5,428,379,75,60,29,4,18,12,52,48,24,10,9,13,2,1,7,10,131,113,18,6,5,3,8,5,10,1,4-5-1,6.45,4-3-3,6.94,8.2,15.71,,,4.0,20,10,8.0,10,10.0
16,Тулуза,Дижон,Рудди Буке,1.9,3.5,4.1,16,0,0,1204,993,211,53,47,11,5,2,0,471,420,46,53,30,15,24,18,52,62,16,18,17,20,7,5,8,12,134,124,18,18,6,5,11,9,7,9,4-2-3-1,6.82,4-1-4-1,6.79,11.04,14.28,,,4.0,27.0,10,14.0,10,17.0
17,Сент-Этьен,Брест,Йохан Хамель,1.6,3.8,6.0,24,0,1,1656,575,1081,55,45,16,8,1,2,457,382,41,67,19,7,15,13,61,52,24,10,24,20,4,2,12,15,144,144,19,9,5,4,16,5,3,4,4-2-3-1,6.95,4-4-2,6.95,6.26,16.16,,,4.0,20,10,10.0,10,11.0
18,Реймс,Страсбург,Флоран Батта,2.1,3.2,3.8,37,0,0,1028,645,383,58,42,18,19,2,0,556,387,63,61,16,18,9,10,53,46,17,17,17,10,2,4,11,10,117,128,11,5,1,2,6,4,5,1,4-2-3-1,7.22,3-5-1-1,6.9,8.43,19.61,,,4.0,20,10,8.0,10,6.0
19,Ренн,ПСЖ,Энтони Готье,8.0,5.25,1.36,34,1,1,618,1533,-915,38,62,15,19,1,5,383,593,48,28,8,28,12,25,43,59,6,13,14,16,4,7,7,5,96,122,10,9,3,2,7,6,3,3,5-3-2,7.03,4-3-3,7.1,18.95,8.21,,,1.0,18.0,10,19.0,10,17.0
20,Амьен,Нант,Джереми Стинат,2.75,3.1,2.7,22,0,0,155,2367,-2212,37,63,9,13,1,1,394,658,55,61,5,22,15,16,60,50,23,10,16,18,2,5,17,14,132,139,3,25,1,6,2,10,1,15,4-2-3-1,6.71,4-2-3-1,6.82,15.5,7.29,,,4.0,20,13.0,10.5,17.0,16.5
21,Анже,Мец,Стефани Фраппар,2.05,3.2,3.75,23,2,0,1026,567,459,37,63,15,8,1,2,350,607,51,50,14,12,9,15,43,54,14,12,16,18,2,1,13,11,134,133,15,4,5,2,8,1,7,3,4-2-3-1,6.52,4-3-3,7.0,17.4,25.38,,,4.0,20,11.0,12.5,12.0,13.5
22,Дижон,Бордо,Франсуа Летексье,3.0,3.1,2.55,30,0,1,736,1134,-398,47,53,12,18,0,2,462,517,49,64,19,20,29,26,72,65,15,14,24,26,3,7,12,9,135,151,10,10,1,3,3,7,7,3,4-1-4-1,6.83,3-4-2-1,6.52,9.86,8.66,,,10.0,33.0,17.0,11.0,15.0,15.0
23,Брест,Реймс,Хаким Бен эль Салем Хадж,2.6,3.0,3.0,32,0,0,725,1205,-480,53,47,18,14,1,1,489,408,63,59,13,23,1,12,44,55,23,19,8,13,6,5,10,14,131,135,8,10,4,2,6,7,2,3,4-4-2,6.84,4-2-3-1,7.09,10.39,13.12,,,3.0,26.0,11.0,9.5,8.0,13.0
24,АС Монако,Ним,Амори Делерю,1.65,3.75,5.75,31,2,0,1074,1280,-206,45,55,14,17,2,1,349,411,52,53,15,22,25,21,69,56,19,13,22,18,6,7,11,5,119,136,16,14,6,4,12,8,4,6,4-4-2,6.49,4-3-3,6.55,9.26,9.3,,,4.0,20,10.0,8.5,8.0,14.5
25,Страсбург,Ренн,Рудди Буке,2.87,3.0,2.62,26,0,1,1848,503,1345,51,49,13,13,4,2,388,395,55,60,30,2,18,14,63,46,18,13,18,11,6,0,9,7,117,117,19,7,3,4,13,2,6,5,3-4-1-2,6.86,5-3-2,6.86,10.08,8.58,,,3.0,21.5,6.0,12.5,19.0,17.0
26,ПСЖ,Тулуза,Бризар Джером,1.1,10.0,23.0,21,0,0,3389,76,3313,71,29,8,13,0,1,662,267,27,47,35,7,25,17,46,50,7,9,15,21,12,1,8,11,121,103,21,3,11,0,18,3,3,0,4-3-3,6.93,5-4-1,6.96,4.44,27.58,,,1.0,26.0,17.0,18.0,14.0,12.5
27,Монпелье,Лион,Микаэль Лесаж,4.0,3.4,1.8,25,1,0,1142,549,593,50,50,14,11,2,4,479,470,66,55,24,15,19,15,50,53,14,18,18,15,8,2,6,10,118,114,19,14,5,4,8,5,11,9,3-4-1-2,6.84,4-3-3,7.34,14.37,17.71,,,6.0,30.0,20.0,20.5,17.0,12.0
28,Лилль,Сент-Этьен,Оливье Туаль,2.05,3.4,3.6,21,1,0,1028,694,334,49,51,9,12,0,0,460,465,46,59,11,13,8,12,41,49,16,19,12,17,3,3,5,14,126,120,16,9,7,4,12,6,4,3,4-2-3-1,6.77,4-2-3-1,6.89,14.86,12.36,,,0.0,25.0,13.0,10.0,10.0,13.0
29,Ницца,Марсель,Клемент Терпин,3.4,3.2,2.2,20,0,1,992,711,281,62,38,7,13,1,1,548,323,56,43,14,12,28,14,61,52,11,17,22,22,4,3,11,8,138,121,12,12,3,5,5,8,7,4,4-3-3,6.85,4-3-3,6.75,8.0,12.77,,,2.0,25.0,10.0,11.0,18.0,18.0
30,Мец,ПСЖ,Фрэнк Шнайдер,6.0,4.5,1.5,24,0,2,378,1321,-943,31,69,11,13,1,0,309,680,56,39,9,16,26,26,61,53,8,10,24,17,4,7,8,19,121,124,7,10,2,4,2,8,5,2,4-3-3,6.82,4-3-3,6.99,18.33,4.72,,,3.0,36.0,15.0,11.666666666666666,19.0,14.666666666666666
31,Лион,Бордо,Энтони Готье,1.5,4.2,6.5,26,1,0,605,1565,-960,46,54,12,14,4,3,434,494,48,35,10,22,20,21,53,53,10,11,19,20,4,5,15,8,117,118,10,18,3,6,6,9,4,9,4-3-3,7.12,4-2-3-1,6.66,10.88,12.61,,,3.5,26.0,7.0,11.666666666666666,16.5,16.0
32,Анже,Дижон,Джереми Пиньяр,1.61,3.75,5.5,28,0,0,1199,589,610,43,57,11,17,0,2,366,500,52,59,19,10,17,16,60,59,16,21,17,21,5,3,15,17,149,137,12,5,3,1,6,4,6,1,4-5-1,6.7,3-5-2,6.77,15.17,8.42,,,7.0,18.0,13.0,13.333333333333334,5.0,11.333333333333334
33,Нант,Монпелье,Карим Абед,2.5,3.1,3.1,26,0,0,948,568,380,49,51,14,12,2,2,473,479,49,85,20,17,20,8,69,52,26,20,23,18,6,2,18,10,152,158,14,8,7,1,7,5,7,3,4-2-3-1,6.94,3-4-1-2,6.94,12.12,12.71,,,2.0,20.0,16.0,15.333333333333334,21.0,18.333333333333332
34,Ним,Брест,Томас Леонард,2.1,3.25,3.75,28,2,0,1881,492,1389,38,62,11,17,3,4,310,520,67,59,26,8,12,13,61,59,24,26,15,16,8,2,14,9,146,158,21,7,8,3,14,5,7,2,4-4-2,6.62,4-5-1,6.84,15.68,8.94,,,2.0,27.0,21.0,15.333333333333334,8.0,12.333333333333334
35,Тулуза,Амьен,Флоран Батта,2.3,3.0,3.5,23,0,0,869,1081,-212,45,55,15,8,0,1,513,596,48,50,14,23,16,12,36,43,6,9,14,14,4,3,16,5,126,128,13,10,3,1,8,4,5,6,4-3-3,6.77,5-4-1,6.65,15.04,17.37,,,2.0,37.0,11.0,12.666666666666666,8.0,10.0
