,Team1,Team2,Referee,Coef_1,Coef_X,Coef_2,Total_Fouls,Team1_Score,Team2_Score,Team1_Intensive,Team2_Intensive,Intensive,Team1_Ball_possession,Team2_Ball_possession,Team1_Fouls,Team2_Fouls,Team1_Yellow_cards,Team2_Yellow_cards,Team1_Passes,Team2_Passes,Team1_Long_balls,Team2_Long_balls,Team1_Crosses,Team2_Crosses,Team1_Dribbles,Team2_Dribbles,Team1_Duels_won,Team2_Duels_won,Team1_Aerials_won,Team2_Aerials_won,Team1_Tackles,Team2_Tackles,Team1_Corner_kicks,Team2_Corner_kicks,Team1_Interceptions,Team2_Interceptions,Team1_Possession_lost,Team2_Possession_lost,Team1_Total_shots,Team2_Total_shots,Team1_Shots_on_target,Team2_Shots_on_target,Team1_Shots_inside_box,Team2_Shots_inside_box,Team1_Shots_outside_box,Team2_Shots_outside_box,Team1_Formation,Team1_Ratings,Team2_Formation,Team2_Ratings,Team1_PPDA,Team2_PPDA,Team1_Pre_PPDA,Team2_Pre_PPDA,Ref_Mean_Cards,Ref_Mean_Fouls,Team1_Mean_Fouls_Home,Team1_Mean_Fouls,Team2_Mean_Fouls_Away,Team2_Mean_Fouls
0,Химки,ЦСКА,Владислав Безбородов,4.75,3.6,1.75,18,0,2,679,1323,-644,45,55,6,12,0,0,482,578,75,52,15,18,15,13,56,45,26,19,15,16,2,4,11,19,146,150,18,14,4,3,7,10,11,4,3-4-3,0.0,3-4-2-1,0.0,21.23,11.44,,,4.0,20,10,10,10,10
1,Тамбов,Ростов,Станислав Васильев,3.6,3.1,2.1,28,0,1,413,1399,-986,43,57,14,14,2,3,370,479,69,81,11,13,11,7,42,44,19,15,8,10,1,4,13,8,132,141,10,7,1,5,4,4,6,3,3-4-3,0.0,4-5-1,0.0,14.65,10.05,,,4.0,20,10,10,10,10
2,Уфа,Краснодар,Сергей Карасев,4.0,3.3,1.95,26,0,0,355,2652,-2297,27,73,9,17,2,2,257,709,61,52,15,19,8,21,40,48,11,12,9,8,5,7,14,16,116,116,5,24,2,11,4,13,1,11,5-3-2,0.0,4-2-3-1,0.0,24.14,4.96,,,4.0,20,10,10,10,10
3,Арсенал,Ахмат,Кирилл Левников,2.4,3.2,3.0,25,0,0,779,788,-9,53,47,10,15,3,2,430,368,60,70,21,17,23,21,61,90,24,27,15,41,4,5,10,13,178,156,6,10,1,2,3,5,3,5,5-4-1,0.0,4-2-3-1,0.0,7.73,9.31,,,4.0,20,10,10,10,10
4,Спартак,Сочи,Василий Казарцев,1.6,3.8,5.5,20,2,1,1129,1139,-10,53,47,15,5,6,3,480,406,73,60,11,17,7,5,45,36,24,9,10,9,2,5,10,2,110,127,13,16,4,4,11,11,2,5,3-1-4-2,0.0,3-4-3,0.0,25.0,22.77,,,4.0,20,10,10,10,10
5,Урал,Динамо,Виталий Мешков,3.5,3.3,2.1,26,0,1,772,1194,-422,57,43,14,12,3,3,590,432,64,59,13,24,20,11,41,59,15,21,8,24,4,8,12,10,128,127,14,15,2,7,8,8,6,7,4-2-3-1,0.0,4-2-3-1,0.0,19.08,12.5,,,4.0,20,10,10,10,10
6,Ротор,Зенит,Алексей Валерьевич Матюнин,9.0,5.0,1.33,14,0,1,628,1876,-1248,37,63,8,6,1,1,351,583,55,75,15,32,16,13,36,53,16,20,8,17,3,4,15,11,144,141,11,16,5,4,4,8,7,8,5-4-1,0.0,4-3-1-2,0.0,20.4,7.65,,,4.0,20,10,10,10,10
7,Рубин Казань,Локомотив,Сергей Иванов,3.2,3.1,2.3,27,0,2,851,1008,-157,37,63,11,16,3,5,348,589,36,53,17,9,28,13,51,49,13,8,8,21,7,4,9,3,113,106,14,12,3,5,10,8,4,4,4-2-3-1,0.0,4-2-3-1,0.0,18.65,9.22,,,4.0,20,10,10,10,10
8,Арсенал,Уфа,Сергей Лапочкин,2.3,2.87,3.5,24,1,1,1878,548,1330,65,35,13,11,8,2,527,290,58,74,33,9,23,8,50,59,19,28,12,18,6,1,14,14,168,146,18,6,7,4,7,4,11,2,5-4-1,6.61,5-3-2,6.51,7.25,9.32,,,4.0,20,10.0,10.0,10,9.0
9,Сочи,Химки,Сергей Карасев,1.9,3.4,4.0,32,0,1,1475,685,790,53,47,14,18,2,3,425,376,66,74,30,14,13,7,55,64,34,36,4,13,6,5,10,12,156,136,15,13,5,5,9,7,6,6,3-5-2,6.73,4-4-2,6.83,12.06,11.0,,,4.0,26.0,10,5.0,10,6.0
10,Спартак,Ахмат,Евгений Андреевич Турбин,1.65,4.0,5.0,26,0,0,2164,483,1681,70,30,6,20,2,9,545,223,50,55,22,11,14,16,72,48,25,10,19,28,5,6,8,12,135,132,19,7,5,3,14,6,5,1,3-4-3,6.91,4-2-3-1,7.02,3.69,13.16,,,4.0,20,15.0,15.0,15.0,15.0
11,Динамо,Ротор,Игорь Панин,1.65,3.4,5.75,29,0,0,1798,512,1286,50,50,16,13,3,5,421,441,70,64,35,6,28,0,61,50,22,17,10,19,10,1,8,10,158,144,21,3,3,2,12,1,9,2,4-3-3,7.24,4-2-3-1,6.54,11.05,14.73,,,4.0,20,10,12.0,10,8.0
12,Рубин Казань,Урал,Алексей Васильевич Сухой,1.75,3.6,4.75,21,1,1,1326,807,519,45,55,5,16,2,7,340,400,53,46,18,26,25,14,62,42,18,13,17,17,8,4,13,8,117,114,21,13,6,5,14,9,7,4,4-2-3-1,6.55,4-2-3-1,6.71,13.0,8.73,,,4.0,20,11.0,11.0,10,14.0
13,ЦСКА,Тамбов,Владимир Москалев,1.44,4.0,7.0,19,1,1,1120,633,487,50,50,11,8,1,1,489,493,52,79,24,11,9,7,44,38,17,13,14,11,5,2,14,13,136,139,12,12,4,6,7,9,5,3,3-4-2-1,7.16,5-4-1,6.63,12.21,28.6,,,4.0,20,10,12.0,10,14.0
14,Локомотив,Краснодар,Кирилл Левников,2.9,3.25,2.4,21,1,0,934,1388,-454,41,59,10,11,1,1,397,562,67,39,10,18,17,21,44,63,9,13,17,30,5,4,12,18,139,125,16,16,9,3,12,10,4,6,4-2-3-1,7.17,4-2-3-1,7.4,13.91,6.17,,,5.0,25.0,10,16.0,17.0,17.0
15,Ростов,Зенит,Павел Кукуян,4.333333333333334,3.6,1.8,26,0,1,1008,1082,-74,43,57,13,13,2,5,350,469,43,81,19,9,12,15,43,67,20,23,6,22,2,2,14,5,135,140,19,14,4,6,5,7,14,7,4-2-3-1,6.88,4-4-2,7.28,11.95,6.07,,,4.0,20,10,14.0,6.0,6.0
16,Сочи,Рубин Казань,Владислав Безбородов,2.37,3.1,3.1,23,1,0,929,1398,-469,44,56,11,12,2,3,306,406,61,71,28,14,13,13,46,54,15,18,21,15,10,5,7,4,132,125,11,18,6,7,8,11,3,7,3-4-2-1,6.79,4-2-3-1,6.69,15.81,8.44,,,0.0,18.0,14.0,9.5,10,8.0
17,Тамбов,Химки,Михаил Вилков,2.8,3.1,2.6,26,1,0,557,1967,-1410,38,62,13,13,2,7,309,481,77,54,13,34,4,8,47,37,24,17,11,8,2,8,13,8,120,131,5,20,2,3,4,9,1,11,5-3-2,6.66,4-4-2,6.91,14.25,8.22,,,4.0,20,14.0,11.0,18.0,12.0
