,Team1,Team2,Referee,Coef_1,Coef_X,Coef_2,Total_Fouls,Team1_Score,Team2_Score,Team1_Intensive,Team2_Intensive,Intensive,Team1_Ball_possession,Team2_Ball_possession,Team1_Fouls,Team2_Fouls,Team1_Yellow_cards,Team2_Yellow_cards,Team1_Passes,Team2_Passes,Team1_Long_balls,Team2_Long_balls,Team1_Crosses,Team2_Crosses,Team1_Dribbles,Team2_Dribbles,Team1_Duels_won,Team2_Duels_won,Team1_Aerials_won,Team2_Aerials_won,Team1_Tackles,Team2_Tackles,Team1_Corner_kicks,Team2_Corner_kicks,Team1_Interceptions,Team2_Interceptions,Team1_Possession_lost,Team2_Possession_lost,Team1_Total_shots,Team2_Total_shots,Team1_Shots_on_target,Team2_Shots_on_target,Team1_Shots_inside_box,Team2_Shots_inside_box,Team1_Shots_outside_box,Team2_Shots_outside_box,Team1_Formation,Team1_Ratings,Team2_Formation,Team2_Ratings,Team1_PPDA,Team2_PPDA,Team1_Pre_PPDA,Team2_Pre_PPDA,Ref_Mean_Cards,Ref_Mean_Fouls,Team1_Mean_Fouls_Home,Team1_Mean_Fouls,Team2_Mean_Fouls_Away,Team2_Mean_Fouls
0,Парма,Ювентус,Фабио Мареска,8.5,5.0,1.33,27,0,1,326,1535,-1209,38,62,13,14,2,3,327,510,61,44,12,27,17,22,46,55,8,11,14,17,5,8,9,9,121,119,8,14,2,4,1,7,7,7,4-3-3,0.0,4-3-3,0.0,10.67,6.62,,,4.0,20,10,10,10,10
1,Фиорентина,Наполи,Давиде Масса,4.333333333333334,3.6,1.83,37,1,2,844,1223,-379,42,58,21,16,2,4,389,520,29,46,15,14,21,13,54,52,9,12,14,12,4,5,11,9,110,111,20,16,6,7,9,8,11,8,4-3-3,0.0,4-4-1-1,0.0,10.1,7.53,,,4.0,20,10,10,10,10
2,Удинезе,Милан,Фабрицио Паскуа,4.0,3.4,1.95,27,0,0,1285,793,492,40,60,16,11,1,3,353,535,61,29,24,16,11,11,45,49,14,15,12,14,9,4,12,3,112,101,17,14,6,0,6,5,11,9,3-5-2,0.0,4-3-1-2,0.0,19.44,10.0,,,4.0,20,10,10,10,10
3,Кальяри,Брешиа,Эудженио Аббаттиста,1.75,3.6,4.75,22,0,0,1381,1141,240,58,42,10,12,2,2,478,341,80,65,32,20,12,12,48,59,25,29,9,12,8,8,24,11,155,165,14,10,4,2,7,9,7,1,4-3-1-2,0.0,4-3-1-2,0.0,5.67,14.67,,,4.0,20,10,10,10,10
4,Верона,Болонья,Антонио Джуа,4.0,3.4,2.0,27,1,1,266,2241,-1975,25,75,13,14,1,3,210,592,58,45,3,24,9,12,54,45,22,17,16,15,1,6,11,6,126,133,5,16,2,2,0,8,5,8,3-4-2-1,0.0,4-2-3-1,0.0,15.94,4.47,,,4.0,20,10,10,10,10
5,Рома,Дженоа,Джанпаоло Кальварезе,1.7,3.75,5.0,29,2,2,1835,683,1152,53,47,14,15,3,1,444,391,49,57,19,10,19,8,47,41,12,15,10,13,5,1,9,10,107,106,23,6,9,4,8,3,15,3,4-2-3-1,0.0,3-1-4-2,0.0,18.21,7.83,,,4.0,20,10,10,10,10
6,Сампдория,Лацио,Джанлука Рокки,3.6,3.4,2.05,24,0,1,852,1379,-527,50,50,12,12,2,2,448,437,31,66,16,22,15,14,51,61,13,20,18,25,5,9,6,12,121,124,16,17,8,10,5,13,11,4,4-3-3,0.0,5-3-2,0.0,10.08,11.73,,,4.0,20,10,10,10,10
7,СПАЛ,Аталанта,Джанлука Манганьелло,5.0,3.8,1.66,29,2,1,568,2374,-1806,41,59,13,16,2,1,333,475,48,61,15,31,17,14,57,63,21,28,14,17,2,10,9,14,143,147,9,21,3,13,6,13,3,8,3-5-2,0.0,3-4-1-2,0.0,12.86,6.07,,,4.0,20,10,10,10,10
8,Торино,Сассуоло,Майкл Фаббри,1.85,3.5,4.333333333333334,35,1,0,807,1251,-444,34,66,21,14,4,3,252,495,57,34,17,12,16,16,74,59,24,14,27,15,6,6,15,9,137,141,10,20,4,9,7,10,3,10,3-5-2,0.0,4-3-1-2,0.0,8.4,3.39,,,4.0,20,10,10,10,10
9,Интер,Лечче,Федерико Ла Пенна,1.22,6.0,13.0,22,2,0,1657,676,981,59,41,13,9,1,2,539,356,66,45,23,21,18,12,44,45,12,14,11,10,7,7,12,5,98,103,24,17,8,2,13,4,11,13,3-5-2,0.0,4-2-3-1,0.0,7.58,20.75,,,4.0,20,10,10,10,10
10,Болонья,СПАЛ,Марко Ди Белло,1.75,3.5,4.75,28,0,0,2213,584,1629,58,42,13,15,3,2,440,324,47,64,28,16,23,12,76,60,36,23,13,15,11,2,9,11,136,143,23,9,9,1,14,5,9,4,4-3-3,6.79,3-5-2,6.78,5.15,8.35,,,4.0,20,10,14.0,10,13.0
11,Милан,Брешиа,Росарио Абиссо,1.55,3.9,6.5,32,1,0,1538,543,995,62,38,14,18,3,4,520,310,84,43,22,11,21,7,62,57,17,16,18,23,5,3,10,6,136,128,16,6,4,1,11,3,5,3,4-3-2-1,6.79,4-3-1-2,7.14,5.63,11.33,,,4.0,20,10,11.0,12.0,12.0
12,Ювентус,Наполи,Даниэле Орсато,2.0,3.4,4.0,26,2,0,992,1292,-300,44,56,13,13,3,3,432,545,45,35,15,14,14,12,37,44,7,11,9,13,2,5,9,9,99,103,12,15,7,7,7,5,5,10,4-3-3,7.09,4-4-1-1,6.89,14.59,9.67,,,4.0,20,10,14.0,16.0,16.0
13,Лацио,Рома,Марко Гуида,2.0,3.6,3.6,28,0,1,1994,686,1308,50,50,15,13,4,3,374,384,41,51,23,10,13,21,55,53,18,14,17,10,8,4,7,8,108,105,22,11,7,3,13,4,9,7,3-5-2,7.41,4-2-3-1,6.76,6.23,14.69,,,4.0,20,10,12.0,10,14.0
14,Аталанта,Торино,Даниэле Довери,1.5699999999999998,4.0,5.5,31,1,1,1695,678,1017,58,42,14,17,2,2,397,287,47,57,31,18,13,22,58,70,18,26,20,17,12,5,4,17,142,125,26,10,9,5,14,7,12,3,3-4-1-2,7.0,3-4-2-1,7.15,4.63,6.12,,,4.0,20,10,16.0,10,21.0
